Date: 15-08-25
Time: 14:36:53 PM

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .0000
First vertex potential (V) = .5000
Second vertex potential (V) = -.3000
Step potential (V) = .00800
Scan rate (V/s) = .60006
Equilibration time (s) = 
Number of Data Points =  199 

 Potential	  Scan 1   
 0.003271	-3.067017E-06
 0.015363	1.636658E-05
 0.023349	1.883850E-05
 0.031345	2.143555E-05
 0.039328	2.460022E-05
 0.047333	2.854919E-05
 0.055359	3.354187E-05
 0.063354	3.984070E-05
 0.071320	4.777832E-05
 0.079315	5.755615E-05
 0.087311	6.939697E-05
 0.095306	8.358765E-05
 0.103302	1.001587E-04
 0.111267	1.190796E-04
 0.119263	1.402893E-04
 0.127258	1.636353E-04
 0.135223	1.887512E-04
 0.143219	2.154236E-04
 0.151215	2.431641E-04
 0.159180	2.713928E-04
 0.167175	2.996826E-04
 0.175171	3.274536E-04
 0.183167	3.542786E-04
 0.191132	3.789368E-04
 0.199127	4.009705E-04
 0.207123	4.194946E-04
 0.215118	4.336548E-04
 0.223114	4.426880E-04
 0.231079	4.458313E-04
 0.239075	4.428101E-04
 0.247040	4.339600E-04
 0.255035	4.201050E-04
 0.263031	4.028931E-04
 0.271027	3.841248E-04
 0.278992	3.652039E-04
 0.286987	3.473206E-04
 0.294983	3.309631E-04
 0.302979	3.162231E-04
 0.310944	3.031006E-04
 0.318939	2.913818E-04
 0.326935	2.809448E-04
 0.334900	2.715454E-04
 0.342896	2.630615E-04
 0.350891	2.553711E-04
 0.358856	2.483521E-04
 0.366852	2.418518E-04
 0.374847	2.358704E-04
 0.382843	2.303162E-04
 0.390808	2.251587E-04
 0.398804	2.202759E-04
 0.406769	2.156982E-04
 0.414764	2.113342E-04
 0.422760	2.071533E-04
 0.430725	2.031250E-04
 0.438721	1.992493E-04
 0.446716	1.954651E-04
 0.454712	1.917419E-04
 0.462677	1.881104E-04
 0.470673	1.845398E-04
 0.478668	1.809998E-04
 0.486664	1.775513E-04
 0.494629	1.741333E-04
 0.496613	1.606445E-04
 0.488617	1.395874E-04
 0.480621	1.305847E-04
 0.472595	1.239929E-04
 0.464600	1.186218E-04
 0.456604	1.139221E-04
 0.448578	1.096191E-04
 0.440613	1.056519E-04
 0.432587	1.019287E-04
 0.424591	9.832764E-05
 0.416565	9.484863E-05
 0.408569	9.149170E-05
 0.400574	8.813477E-05
 0.392548	8.483887E-05
 0.384552	8.154297E-05
 0.376556	7.824707E-05
 0.368561	7.492065E-05
 0.360565	7.156372E-05
 0.352570	6.814575E-05
 0.344543	6.469727E-05
 0.336548	6.115723E-05
 0.328552	5.749512E-05
 0.320557	5.377197E-05
 0.312561	4.983521E-05
 0.304565	4.580688E-05
 0.296539	4.145813E-05
 0.288544	3.679504E-05
 0.280548	3.172607E-05
 0.272552	2.619629E-05
 0.264557	2.007446E-05
 0.256561	1.258545E-05
 0.248535	5.310059E-06
 0.240540	-3.472900E-06
 0.232544	-1.353149E-05
 0.224548	-2.500916E-05
 0.216553	-3.817444E-05
 0.208557	-5.310059E-05
 0.200531	-6.982422E-05
 0.192535	-8.850098E-05
 0.184540	-1.089478E-04
 0.176544	-1.310730E-04
 0.168549	-1.546631E-04
 0.160553	-1.793518E-04
 0.152557	-2.048035E-04
 0.144531	-2.304993E-04
 0.136536	-2.558289E-04
 0.128540	-2.802429E-04
 0.120544	-3.030090E-04
 0.112549	-3.231812E-04
 0.104553	-3.401184E-04
 0.096558	-3.528442E-04
 0.088562	-3.604431E-04
 0.080566	-3.620911E-04
 0.072540	-3.572693E-04
 0.064545	-3.459167E-04
 0.056549	-3.294067E-04
 0.048541	-3.099976E-04
 0.040540	-2.899780E-04
 0.032538	-2.709045E-04
 0.024536	-2.536316E-04
 0.016531	-2.383423E-04
 0.008536	-2.248535E-04
 0.000534	-2.131042E-04
 -0.007468	-2.027283E-04
 -0.015466	-1.935425E-04
 -0.023471	-1.854248E-04
 -0.031476	-1.782227E-04
 -0.039474	-1.717529E-04
 -0.047479	-1.659851E-04
 -0.055420	-1.608276E-04
 -0.063416	-1.561279E-04
 -0.071442	-1.519165E-04
 -0.079437	-1.480713E-04
 -0.087433	-1.446228E-04
 -0.095428	-1.414185E-04
 -0.103424	-1.384888E-04
 -0.111420	-1.358337E-04
 -0.119415	-1.333618E-04
 -0.127411	-1.310730E-04
 -0.135406	-1.289673E-04
 -0.143402	-1.269836E-04
 -0.151398	-1.251831E-04
 -0.159424	-1.235046E-04
 -0.167419	-1.219482E-04
 -0.175415	-1.204529E-04
 -0.183411	-1.190491E-04
 -0.191406	-1.177979E-04
 -0.199432	-1.166077E-04
 -0.207428	-1.154785E-04
 -0.215424	-1.144409E-04
 -0.223419	-1.134949E-04
 -0.231415	-1.125793E-04
 -0.239410	-1.117859E-04
 -0.247406	-1.109924E-04
 -0.255402	-1.102905E-04
 -0.263397	-1.096497E-04
 -0.271423	-1.090698E-04
 -0.279419	-1.084900E-04
 -0.287415	-1.080322E-04
 -0.295410	-1.076050E-04
 -0.295166	-6.942749E-05
 -0.287170	-3.058167E-05
 -0.279175	-2.549744E-05
 -0.271179	-2.378540E-05
 -0.263214	-2.262573E-05
 -0.255219	-2.174377E-05
