Date: 15-08-25
Time: 14:18:03 PM

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .0000
First vertex potential (V) = .5000
Second vertex potential (V) = -.3000
Step potential (V) = .00800
Scan rate (V/s) = .80000
Equilibration time (s) = 
Number of Data Points =  200 

 Potential	  Scan 1   
 0.003198	-5.392456E-06
 0.015308	2.316895E-05
 0.023318	2.811279E-05
 0.031329	3.211365E-05
 0.039325	3.620300E-05
 0.047321	4.103394E-05
 0.055359	4.682617E-05
 0.063354	5.416870E-05
 0.071320	6.283569E-05
 0.079315	7.305908E-05
 0.087280	8.505249E-05
 0.095276	9.872437E-05
 0.103241	1.141052E-04
 0.111237	1.308899E-04
 0.119232	1.493835E-04
 0.127197	1.691589E-04
 0.135193	1.899719E-04
 0.143188	2.118225E-04
 0.151184	2.344666E-04
 0.159180	2.575989E-04
 0.167175	2.810059E-04
 0.175171	3.044434E-04
 0.183167	3.280640E-04
 0.191162	3.506470E-04
 0.199127	3.726196E-04
 0.207123	3.931580E-04
 0.215118	4.126892E-04
 0.223114	4.300537E-04
 0.231110	4.449158E-04
 0.239105	4.567566E-04
 0.247070	4.649353E-04
 0.255096	4.689941E-04
 0.263062	4.682922E-04
 0.271088	4.624939E-04
 0.279053	4.518433E-04
 0.287048	4.371338E-04
 0.295044	4.195862E-04
 0.303040	4.012146E-04
 0.311035	3.829956E-04
 0.319031	3.659058E-04
 0.327026	3.504333E-04
 0.334991	3.366089E-04
 0.342987	3.244019E-04
 0.350983	3.135071E-04
 0.358948	3.038025E-04
 0.366943	2.950439E-04
 0.374939	2.871704E-04
 0.382904	2.799377E-04
 0.390900	2.733154E-04
 0.398895	2.672119E-04
 0.406860	2.615356E-04
 0.414856	2.562866E-04
 0.422852	2.513428E-04
 0.430817	2.466125E-04
 0.438812	2.420959E-04
 0.446808	2.377930E-04
 0.454803	2.335510E-04
 0.462769	2.294617E-04
 0.470764	2.254333E-04
 0.478760	2.213745E-04
 0.486755	2.174988E-04
 0.494720	2.135620E-04
 0.502319	2.096863E-04
 0.494415	1.757202E-04
 0.486420	1.589355E-04
 0.478424	1.481323E-04
 0.470398	1.398315E-04
 0.462402	1.329041E-04
 0.454407	1.269531E-04
 0.446381	1.215515E-04
 0.438385	1.166382E-04
 0.430389	1.120300E-04
 0.422394	1.076660E-04
 0.414398	1.034851E-04
 0.406372	9.951782E-05
 0.398376	9.561157E-05
 0.390381	9.179688E-05
 0.382385	8.804321E-05
 0.374359	8.438110E-05
 0.366394	8.059692E-05
 0.358368	7.711792E-05
 0.350372	7.342529E-05
 0.342377	6.979370E-05
 0.334381	6.613159E-05
 0.326385	6.240845E-05
 0.318390	5.856323E-05
 0.310364	5.468750E-05
 0.302368	5.050659E-05
 0.294373	4.647827E-05
 0.286377	4.202576E-05
 0.278381	3.734436E-05
 0.270386	3.220520E-05
 0.262390	2.662354E-05
 0.254395	2.043152E-05
 0.246399	1.299438E-05
 0.238403	5.563354E-06
 0.230408	-2.804565E-06
 0.222412	-1.241150E-05
 0.214417	-2.315674E-05
 0.206421	-3.514404E-05
 0.198425	-4.840088E-05
 0.190460	-6.304932E-05
 0.182434	-7.901001E-05
 0.174469	-9.613037E-05
 0.166473	-1.145935E-04
 0.158478	-1.338501E-04
 0.150482	-1.541443E-04
 0.142456	-1.751099E-04
 0.134460	-1.966858E-04
 0.126465	-2.184448E-04
 0.118469	-2.402954E-04
 0.110474	-2.618103E-04
 0.102478	-2.828979E-04
 0.094513	-3.029785E-04
 0.086487	-3.218689E-04
 0.078522	-3.389587E-04
 0.070496	-3.538818E-04
 0.062500	-3.660583E-04
 0.054474	-3.748169E-04
 0.046475	-3.790894E-04
 0.038458	-3.783264E-04
 0.030444	-3.719482E-04
 0.022430	-3.599854E-04
 0.014413	-3.434448E-04
 0.006421	-3.240967E-04
 -0.001602	-3.041992E-04
 -0.009613	-2.851257E-04
 -0.017615	-2.678833E-04
 -0.025616	-2.526855E-04
 -0.033621	-2.395935E-04
 -0.041623	-2.280273E-04
 -0.049591	-2.180786E-04
 -0.057587	-2.093201E-04
 -0.065582	-2.016602E-04
 -0.073578	-1.947632E-04
 -0.081573	-1.887207E-04
 -0.089569	-1.833191E-04
 -0.097565	-1.784973E-04
 -0.105591	-1.741943E-04
 -0.113586	-1.701355E-04
 -0.121582	-1.666565E-04
 -0.129578	-1.632385E-04
 -0.137573	-1.602173E-04
 -0.145569	-1.575012E-04
 -0.153564	-1.549683E-04
 -0.161560	-1.526794E-04
 -0.169556	-1.505127E-04
 -0.177551	-1.485901E-04
 -0.185547	-1.466980E-04
 -0.193573	-1.449890E-04
 -0.201538	-1.433716E-04
 -0.209564	-1.419067E-04
 -0.217560	-1.405640E-04
 -0.225555	-1.392822E-04
 -0.233551	-1.381226E-04
 -0.241547	-1.370544E-04
 -0.249542	-1.360474E-04
 -0.257538	-1.351929E-04
 -0.265533	-1.343689E-04
 -0.273529	-1.336365E-04
 -0.281525	-1.331177E-04
 -0.289520	-1.322937E-04
 -0.297516	-1.317444E-04
 -0.292450	-8.227539E-05
 -0.284454	-4.340210E-05
 -0.276428	-2.891541E-05
 -0.268433	-2.285156E-05
 -0.260406	-1.993713E-05
 -0.252411	-1.817932E-05
 -0.244415	-1.698608E-05
 -0.236420	-1.571045E-05
 -0.228424	-1.524658E-05
 -0.220428	-1.462402E-05
 -0.212433	-1.416626E-05
 -0.204437	-1.352234E-05
 -0.196442	-1.301270E-05
 -0.188446	-1.262207E-05
 -0.180450	-1.226196E-05
 -0.172455	-1.194153E-05
 -0.164490	-1.161804E-05
 -0.156494	-1.139832E-05
 -0.148499	-1.109924E-05
 -0.140503	-1.086426E-05
 -0.132507	-1.077271E-05
 -0.124512	-1.039124E-05
 -0.116547	-1.018677E-05
 -0.108551	-1.001587E-05
 -0.100555	-9.829712E-06
 -0.092560	-9.640503E-06
 -0.084595	-9.561157E-06
 -0.076599	-9.204102E-06
 -0.068604	-8.950806E-06
 -0.060608	-8.795166E-06
 -0.052612	-8.331299E-06
 -0.044720	-7.904053E-06
 -0.036728	-7.400513E-06
 -0.028741	-6.777954E-06
 -0.020752	-5.978394E-06
 -0.012756	-4.956055E-06
 -0.004767	-3.724976E-06

 Potential	  Scan 2   
 0.003210	-2.141418E-06
 0.011203	-1.843262E-07
 0.019186	2.288818E-06
 0.027182	5.413818E-06
 0.035168	9.289551E-06
 0.043152	1.412964E-05
 0.051178	2.006226E-05
 0.059143	2.730408E-05
 0.067139	3.602295E-05
 0.075104	4.631958E-05
 0.083099	5.813599E-05
 0.091095	7.189941E-05
 0.099091	8.724976E-05
 0.107056	1.041565E-04
 0.115051	1.224976E-04
 0.123016	1.421509E-04
 0.131012	1.629639E-04
 0.138977	1.848145E-04
 0.146973	2.073975E-04
 0.154968	2.305908E-04
 0.162964	2.540283E-04
 0.170959	2.775574E-04
 0.178955	3.009338E-04
 0.186951	3.241272E-04
 0.194946	3.460693E-04
 0.202942	3.670959E-04
 0.210907	3.866882E-04
 0.218903	4.043274E-04
 0.226898	4.196472E-04
 0.234894	4.320374E-04
 0.242889	4.409180E-04
 0.250885	4.456482E-04
 0.258881	4.457397E-04
 0.266876	4.407654E-04
 0.274872	4.309082E-04
 0.282867	4.168091E-04
 0.290833	3.998108E-04
 0.298828	3.813171E-04
 0.306824	3.629456E-04
 0.314819	3.455811E-04
 0.322815	3.298340E-04
 0.330780	3.157349E-04
 0.338776	3.032532E-04
 0.346771	2.921143E-04
 0.354767	2.822266E-04
 0.362732	2.732849E-04
 0.370728	2.652588E-04
 0.378723	2.579346E-04
 0.386688	2.512207E-04
 0.394684	2.449951E-04
 0.402679	2.393188E-04
 0.410645	2.340088E-04
 0.418640	2.290344E-04
 0.426636	2.243042E-04
 0.434631	2.198792E-04
 0.442627	2.156372E-04
 0.450592	2.115784E-04
 0.458588	2.076721E-04
 0.466583	2.038269E-04
 0.474548	2.001648E-04
 0.482544	1.965637E-04
 0.490540	1.929932E-04
 0.498505	1.894836E-04
 0.499573	1.730347E-04
 0.491333	1.467590E-04
 0.483337	1.340637E-04
 0.475311	1.251526E-04
 0.467316	1.179810E-04
 0.459320	1.119080E-04
 0.451324	1.065369E-04
 0.443298	1.017151E-04
 0.435303	9.722900E-05
 0.427307	9.298706E-05
 0.419312	8.901978E-05
 0.411285	8.517456E-05
 0.403290	8.142090E-05
 0.395294	7.781982E-05
 0.387299	7.421875E-05
 0.379303	7.073975E-05
 0.371277	6.719971E-05
 0.363281	6.381226E-05
 0.355286	6.036377E-05
 0.347290	5.691528E-05
 0.339294	5.346680E-05
 0.331299	4.995728E-05
 0.323303	4.645386E-05
 0.315308	4.284973E-05
 0.307281	3.905945E-05
 0.299286	3.518372E-05
 0.291290	3.105164E-05
 0.283295	2.670898E-05
 0.275299	2.132263E-05
 0.267303	1.670227E-05
 0.259308	1.132813E-05
 0.251312	5.255127E-06
 0.243317	-1.532593E-06
 0.235321	-9.167480E-06
 0.227325	-1.774597E-05
 0.219330	-2.736511E-05
 0.211334	-3.816223E-05
 0.203339	-5.020142E-05
 0.195374	-6.356812E-05
 0.187347	-7.824707E-05
 0.179352	-9.426880E-05
 0.171387	-1.115417E-04
 0.163391	-1.298523E-04
 0.155396	-1.492920E-04
 0.147400	-1.695557E-04
 0.139374	-1.905212E-04
 0.131378	-2.119446E-04
 0.123383	-2.336426E-04
 0.115387	-2.552490E-04
 0.107391	-2.766418E-04
 0.099396	-2.973938E-04
 0.091431	-3.172302E-04
 0.083405	-3.357544E-04
 0.075439	-3.523254E-04
 0.067413	-3.666992E-04
 0.059418	-3.781128E-04
 0.051392	-3.859558E-04
 0.043384	-3.892822E-04
 0.035373	-3.874207E-04
 0.027356	-3.798523E-04
 0.019339	-3.668823E-04
 0.011328	-3.497314E-04
 0.003317	-3.302612E-04
 -0.004678	-3.104248E-04
 -0.012698	-2.918091E-04
 -0.020700	-2.749939E-04
 -0.028702	-2.602844E-04
 -0.036707	-2.474670E-04
 -0.044711	-2.362976E-04
 -0.052673	-2.265015E-04
 -0.060669	-2.179565E-04
 -0.068665	-2.103882E-04
 -0.076660	-2.036743E-04
 -0.084656	-1.976318E-04
 -0.092651	-1.922607E-04
 -0.100647	-1.874390E-04
 -0.108673	-1.830444E-04
 -0.116638	-1.790466E-04
 -0.124664	-1.754456E-04
 -0.132660	-1.720886E-04
 -0.140656	-1.690674E-04
 -0.148651	-1.662598E-04
 -0.156647	-1.636963E-04
 -0.164642	-1.612854E-04
 -0.172638	-1.591492E-04
 -0.180634	-1.570740E-04
 -0.188629	-1.552124E-04
 -0.196625	-1.534729E-04
 -0.204620	-1.518555E-04
 -0.212646	-1.503601E-04
 -0.220642	-1.489868E-04
 -0.228607	-1.477051E-04
 -0.236603	-1.465454E-04
 -0.244629	-1.454163E-04
 -0.252625	-1.444397E-04
 -0.260620	-1.435242E-04
 -0.268616	-1.427002E-04
 -0.276611	-1.419373E-04
 -0.284607	-1.412354E-04
 -0.292603	-1.406250E-04
 -0.297577	-1.392517E-04
 -0.289642	-7.159424E-05
 -0.281616	-4.494324E-05
 -0.273590	-3.461304E-05
 -0.265594	-3.006897E-05
 -0.257568	-2.767639E-05
 -0.249573	-2.614746E-05
 -0.241577	-2.502136E-05
 -0.233582	-2.369080E-05
 -0.225586	-2.329407E-05
 -0.217621	-2.268677E-05
 -0.209595	-2.213135E-05
 -0.201630	-2.158203E-05
 -0.193634	-2.109680E-05
 -0.185638	-2.062683E-05
 -0.177643	-2.023315E-05
 -0.169647	-1.984558E-05
 -0.161652	-1.946106E-05
 -0.153656	-1.916199E-05
 -0.145691	-1.888733E-05
 -0.137695	-1.858826E-05
 -0.129700	-1.833801E-05
 -0.121704	-1.808777E-05
 -0.113708	-1.784363E-05
 -0.105713	-1.761169E-05
 -0.097748	-1.735229E-05
 -0.089752	-1.707458E-05
 -0.081757	-1.683960E-05
 -0.073761	-1.654663E-05
 -0.065796	-1.623230E-05
 -0.057770	-1.593323E-05
 -0.049805	-1.546326E-05
 -0.041898	-1.495056E-05
 -0.033908	-1.430969E-05
 -0.025916	-1.357117E-05
 -0.017926	-1.261597E-05
 -0.009937	-1.143799E-05
 -0.001950	-9.939575E-06

 Potential	  Scan 3   
 0.006049	-8.236694E-06
 0.014026	-6.039429E-06
 0.022006	-3.217163E-06
 0.029990	2.780151E-07
 0.037985	4.614258E-06
 0.045975	1.000061E-05
 0.053986	1.654358E-05
 0.061981	2.445984E-05
 0.069977	3.393860E-05
 0.077942	4.503784E-05
 0.085907	5.783081E-05
 0.093903	7.229614E-05
 0.101898	8.840942E-05
 0.109863	1.060486E-04
 0.117828	1.250305E-04
 0.125824	1.451416E-04
 0.133820	1.665955E-04
 0.141815	1.888123E-04
 0.149780	2.117004E-04
 0.157776	2.350464E-04
 0.165771	2.585754E-04
 0.173767	2.820740E-04
 0.181763	3.052673E-04
 0.189789	3.281250E-04
 0.197754	3.496399E-04
 0.205750	3.700256E-04
 0.213745	3.887329E-04
 0.221741	4.053650E-04
 0.229706	4.193420E-04
 0.237701	4.301758E-04
