Date: 15-08-25
Time: 14:46:18 PM

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .0000
First vertex potential (V) = .5000
Second vertex potential (V) = -.3000
Step potential (V) = .00500
Scan rate (V/s) = .05000
Equilibration time (s) = 
Number of Data Points =  320 

 Potential	  Scan 1   
 0.001740	-1.212463E-05
 0.008694	-1.148682E-05
 0.013647	-1.126404E-05
 0.018604	-1.104431E-05
 0.023563	-1.081238E-05
 0.028522	-1.055908E-05
 0.033481	-1.024780E-05
 0.038437	-9.924316E-06
 0.043393	-9.548950E-06
 0.048346	-9.115601E-06
 0.053314	-8.612061E-06
 0.058258	-8.023071E-06
 0.063232	-7.315063E-06
 0.068176	-6.500244E-06
 0.073120	-5.535889E-06
 0.078094	-4.417725E-06
 0.083038	-3.079834E-06
 0.087982	-1.500244E-06
 0.092957	3.204346E-07
 0.097900	2.482605E-06
 0.102844	4.962158E-06
 0.107788	7.931519E-06
 0.112732	1.121826E-05
 0.117706	1.498413E-05
 0.122650	1.919250E-05
 0.127594	2.388611E-05
 0.132568	2.902222E-05
 0.137512	3.460999E-05
 0.142456	4.046936E-05
 0.147430	4.675293E-05
 0.152374	5.316162E-05
 0.157318	5.969238E-05
 0.162262	6.616211E-05
 0.167206	7.244873E-05
 0.172180	7.836914E-05
 0.177124	8.374023E-05
 0.182068	8.850098E-05
 0.187042	9.240723E-05
 0.191986	9.542847E-05
 0.196930	9.750366E-05
 0.201904	9.866333E-05
 0.206848	9.890747E-05
 0.211792	9.829712E-05
 0.216736	9.698486E-05
 0.221710	9.506226E-05
 0.226654	9.271240E-05
 0.231598	9.002686E-05
 0.236542	8.715820E-05
 0.241516	8.416748E-05
 0.246460	8.117676E-05
 0.251404	7.821655E-05
 0.256378	7.534790E-05
 0.261322	7.260132E-05
 0.266296	7.000732E-05
 0.271240	6.753540E-05
 0.276184	6.521606E-05
 0.281158	6.304932E-05
 0.286102	6.100464E-05
 0.291046	5.911255E-05
 0.296021	5.734253E-05
 0.300964	5.569458E-05
 0.305908	5.410767E-05
 0.310883	5.267334E-05
 0.315826	5.130005E-05
 0.320801	5.001831E-05
 0.325745	4.884338E-05
 0.330688	4.770813E-05
 0.335663	4.662781E-05
 0.340607	4.560547E-05
 0.345551	4.465332E-05
 0.350494	4.373779E-05
 0.355438	4.286194E-05
 0.360413	4.203796E-05
 0.365356	4.124756E-05
 0.370300	4.049988E-05
 0.375244	3.977356E-05
 0.380219	3.908081E-05
 0.385162	3.841248E-05
 0.390106	3.777161E-05
 0.395081	3.716125E-05
 0.399994	3.656311E-05
 0.404968	3.598328E-05
 0.409912	3.542480E-05
 0.414856	3.488159E-05
