Date: 15-08-25
Time: 14:20:31 PM

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .0000
First vertex potential (V) = .5000
Second vertex potential (V) = -.3000
Step potential (V) = .02000
Scan rate (V/s) = 1.49880
Equilibration time (s) = 
Number of Data Points =  80 

 Potential	  Scan 1   
 0.007648	3.073120E-06
 0.037991	6.170654E-05
 0.058075	7.843018E-05
 0.078064	1.024475E-04
 0.098022	1.373901E-04
 0.118042	1.835938E-04
 0.138031	2.393494E-04
 0.158020	3.021851E-04
 0.178040	3.696594E-04
 0.198059	4.381104E-04
 0.218079	5.047607E-04
 0.238098	5.654907E-04
 0.258087	6.155396E-04
 0.278137	6.472778E-04
 0.298157	6.512451E-04
 0.318176	6.219482E-04
 0.338196	5.691528E-04
 0.358185	5.148315E-04
 0.378204	4.714050E-04
 0.398193	4.376831E-04
 0.418182	4.112854E-04
 0.438202	3.900146E-04
 0.458191	3.721619E-04
 0.478180	3.562622E-04
 0.498352	3.412170E-04
 0.488037	2.690430E-04
 0.467957	2.196350E-04
 0.447937	1.909790E-04
 0.427887	1.694336E-04
 0.407867	1.513062E-04
 0.387848	1.349182E-04
 0.367828	1.194763E-04
 0.347809	1.044922E-04
 0.327789	8.956909E-05
 0.307739	7.421875E-05
 0.287750	5.789185E-05
 0.267731	3.965149E-05
 0.247711	1.800537E-05
 0.227722	-8.581543E-06
 0.207733	-4.182739E-05
 0.187744	-8.288574E-05
 0.167725	-1.318665E-04
 0.147705	-1.878967E-04
 0.127716	-2.492065E-04
 0.107697	-3.131714E-04
 0.087677	-3.767090E-04
 0.067688	-4.359741E-04
 0.047638	-4.856567E-04
 0.027609	-5.184937E-04
 0.007541	-5.221558E-04
 -0.012561	-4.866333E-04
 -0.032617	-4.262085E-04
 -0.052612	-3.692627E-04
 -0.072662	-3.269348E-04
 -0.092682	-2.968750E-04
 -0.112701	-2.751465E-04
 -0.132721	-2.590637E-04
 -0.152771	-2.468262E-04
 -0.172760	-2.372437E-04
 -0.192780	-2.297058E-04
 -0.212799	-2.236328E-04
 -0.232819	-2.187500E-04
 -0.252838	-2.148743E-04
 -0.272858	-2.118530E-04
 -0.292877	-2.095947E-04
 -0.285736	-1.154480E-04
 -0.265686	-3.126221E-05
 -0.245636	-8.105469E-06
 -0.225586	-3.021240E-07
 -0.205566	3.045654E-06
 -0.185516	4.891968E-06
 -0.165527	6.030273E-06
 -0.145508	6.448364E-06
 -0.125488	7.055664E-06
 -0.105469	7.366943E-06
 -0.085480	7.638550E-06
 -0.065491	8.013916E-06
 -0.045572	8.721924E-06
 -0.025565	1.013794E-05
 -0.005554	1.291504E-05

 Potential	  Scan 2   
 0.014441	1.802368E-05
 0.034430	2.707520E-05
 0.054474	4.258118E-05
 0.074463	6.741333E-05
 0.094452	1.034241E-04
 0.114441	1.505432E-04
 0.134399	2.069397E-04
 0.154388	2.702637E-04
 0.174408	3.379211E-04
 0.194458	4.067688E-04
 0.214478	4.733887E-04
 0.234467	5.340576E-04
 0.254486	5.834961E-04
 0.274506	6.146240E-04
 0.294525	6.179810E-04
 0.314575	5.877686E-04
 0.334595	5.343628E-04
 0.354584	4.803467E-04
 0.374603	4.365845E-04
 0.394592	4.028320E-04
 0.414581	3.764038E-04
 0.434601	3.551941E-04
 0.454590	3.375549E-04
 0.474609	3.222656E-04
 0.494598	3.082581E-04
 0.492096	2.524109E-04
 0.472015	1.968689E-04
 0.451996	1.679688E-04
 0.431946	1.469727E-04
 0.411926	1.294861E-04
 0.391907	1.138306E-04
 0.371887	9.915161E-05
 0.351837	8.489990E-05
 0.331818	7.073975E-05
 0.311798	5.624390E-05
 0.291809	4.107361E-05
 0.271759	2.415466E-05
 0.251770	4.412842E-06
 0.231781	-1.974487E-05
 0.211761	-5.001831E-05
 0.191772	-8.786011E-05
 0.171783	-1.337280E-04
 0.151764	-1.871643E-04
 0.131775	-2.465515E-04
 0.111725	-3.095703E-04
 0.091736	-3.731384E-04
 0.071716	-4.337769E-04
 0.051697	-4.867249E-04
 0.031665	-5.255127E-04
 0.011588	-5.389404E-04
 -0.008499	-5.157471E-04
 -0.028564	-4.598999E-04
