Date: 15-08-25
Time: 14:39:29 PM

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .0000
First vertex potential (V) = .5000
Second vertex potential (V) = -.3000
Step potential (V) = .02000
Scan rate (V/s) = .80000
Equilibration time (s) = 
Number of Data Points =  80 

 Potential	  Scan 1   
 0.007788	5.621338E-06
 0.037891	3.263245E-05
 0.057892	4.541626E-05
 0.077881	6.765747E-05
 0.097839	1.035156E-04
 0.117828	1.549988E-04
 0.137787	2.206116E-04
 0.157776	2.956848E-04
 0.177734	3.733215E-04
 0.197693	4.449158E-04
 0.217682	4.986572E-04
 0.237640	5.221558E-04
 0.257629	5.053711E-04
 0.277588	4.582520E-04
 0.297546	4.055786E-04
 0.317535	3.629456E-04
 0.337494	3.307800E-04
 0.357452	3.061523E-04
 0.377441	2.865601E-04
 0.397400	2.704773E-04
 0.417358	2.568054E-04
 0.437347	2.446594E-04
 0.457306	2.334290E-04
 0.477264	2.226868E-04
 0.497253	2.122192E-04
 0.488403	1.673584E-04
 0.468384	1.445007E-04
 0.448395	1.301880E-04
 0.428375	1.184998E-04
 0.408386	1.079712E-04
 0.388367	9.790039E-05
 0.368378	8.789063E-05
 0.348389	7.763672E-05
 0.328369	6.686401E-05
 0.308350	5.526733E-05
 0.288361	4.232788E-05
 0.268372	2.688599E-05
 0.248383	7.360840E-06
 0.228363	-1.865540E-05
 0.208374	-5.398560E-05
 0.188385	-1.007996E-04
 0.168396	-1.593323E-04
 0.148407	-2.266541E-04
 0.128387	-2.969360E-04
 0.108429	-3.614807E-04
 0.088409	-4.084778E-04
 0.068420	-4.236450E-04
 0.048431	-3.959351E-04
 0.028427	-3.403320E-04
 0.008429	-2.889099E-04
 -0.011581	-2.511597E-04
 -0.031586	-2.237854E-04
 -0.051544	-2.035828E-04
 -0.071533	-1.882935E-04
 -0.091522	-1.765442E-04
 -0.111511	-1.672974E-04
 -0.131531	-1.599121E-04
 -0.151520	-1.538696E-04
 -0.171509	-1.488647E-04
 -0.191498	-1.447144E-04
 -0.211517	-1.412964E-04
 -0.231476	-1.384277E-04
 -0.251495	-1.360779E-04
 -0.271484	-1.342163E-04
 -0.291473	-1.327209E-04
 -0.287354	-4.751587E-05
 -0.267365	-2.243347E-05
 -0.247375	-1.926575E-05
 -0.227417	-1.741333E-05
 -0.207428	-1.607666E-05
 -0.187439	-1.503601E-05
 -0.167480	-1.419983E-05
 -0.147522	-1.369019E-05
 -0.127533	-1.315308E-05
 -0.107574	-1.267395E-05
 -0.087585	-1.220703E-05
 -0.067627	-1.160583E-05
 -0.047638	-1.077881E-05
 -0.027747	-9.408569E-06
 -0.007773	-7.086182E-06

 Potential	  Scan 2   
 0.012210	-3.162537E-06
 0.032193	3.454285E-06
 0.052185	1.527710E-05
 0.072174	3.586731E-05
 0.092163	6.939697E-05
 0.112122	1.182861E-04
 0.132111	1.817017E-04
 0.152069	2.555542E-04
 0.172028	3.335266E-04
 0.191986	4.071655E-04
 0.211975	4.656067E-04
 0.231934	4.963074E-04
 0.251892	4.880371E-04
 0.271881	4.451294E-04
 0.291840	3.918762E-04
 0.311829	3.469849E-04
 0.331787	3.129883E-04
 0.351746	2.870178E-04
 0.371704	2.665405E-04
 0.391693	2.498474E-04
 0.411652	2.358398E-04
 0.431610	2.237244E-04
 0.451599	2.128296E-04
 0.471558	2.027283E-04
 0.491516	1.931152E-04
 0.494019	1.605225E-04
 0.474030	1.306763E-04
 0.454010	1.158142E-04
 0.433990	1.043091E-04
 0.414001	9.411621E-05
 0.393982	8.450317E-05
 0.373993	7.498169E-05
 0.354004	6.527710E-05
 0.333984	5.508423E-05
 0.313995	4.426575E-05
 0.293976	3.216553E-05
 0.273987	1.801758E-05
 0.253998	4.333496E-07
 0.233978	-2.271423E-05
 0.213989	-5.422974E-05
 0.194000	-9.664917E-05
 0.174011	-1.509399E-04
 0.154022	-2.153931E-04
 0.134033	-2.850647E-04
 0.114014	-3.522034E-04
 0.094055	-4.059448E-04
 0.074036	-4.327393E-04
 0.054047	-4.190979E-04
 0.034036	-3.688965E-04
 0.014041	-3.141479E-04
 -0.005957	-2.722168E-04
 -0.025961	-2.419434E-04
 -0.045966	-2.196655E-04
 -0.065918	-2.028503E-04
 -0.085907	-1.899414E-04
 -0.105927	-1.797791E-04
 -0.125916	-1.716919E-04
 -0.145905	-1.650391E-04
 -0.165894	-1.595764E-04
 -0.185883	-1.550293E-04
 -0.205872	-1.512451E-04
 -0.225891	-1.480713E-04
 -0.245880	-1.454773E-04
 -0.265869	-1.433716E-04
 -0.285858	-1.416931E-04
 -0.292297	-1.069641E-04
 -0.272308	-3.261719E-05
 -0.252319	-2.841492E-05
 -0.232361	-2.619324E-05
 -0.212372	-2.464905E-05
 -0.192413	-2.344360E-05
 -0.172424	-2.246399E-05
 -0.152435	-2.156982E-05
 -0.132477	-2.106934E-05
 -0.112488	-2.047729E-05
 -0.092529	-1.988831E-05
 -0.072571	-1.920471E-05
 -0.052582	-1.835327E-05
 -0.032687	-1.700745E-05
 -0.012711	-1.483459E-05

 Potential	  Scan 3   
 0.007275	-1.127625E-05
 0.027249	-5.273438E-06
 0.047232	5.181885E-06
 0.067230	2.358093E-05
 0.087219	5.398560E-05
 0.107208	9.945679E-05
 0.127167	1.599426E-04
 0.147125	2.320251E-04
 0.167114	3.096619E-04
 0.187073	3.850403E-04
 0.207031	4.478760E-04
 0.226990	4.858093E-04
 0.246948	4.866333E-04
 0.266937	4.498291E-04
 0.286896	3.967590E-04
 0.306885	3.494263E-04
 0.326843	3.132019E-04
 0.346802	2.857056E-04
 0.366791	2.641602E-04
 0.386749	2.467041E-04
 0.406708	2.321472E-04
 0.426697	2.196655E-04
 0.446655	2.085876E-04
 0.466614	1.983337E-04
 0.486572	1.886902E-04
 0.491547	1.609497E-04
 0.471558	1.265259E-04
 0.451538	1.112976E-04
 0.431519	9.960938E-05
 0.411530	8.932495E-05
 0.391541	7.962036E-05
 0.371521	7.006836E-05
 0.351501	6.027222E-05
 0.331512	5.004883E-05
 0.311523	3.911438E-05
 0.291504	2.684631E-05
 0.271515	1.243286E-05
 0.251526	-5.587769E-06
 0.231537	-2.948303E-05
 0.211548	-6.201172E-05
 0.191559	-1.056213E-04
 0.171539	-1.611328E-04
 0.151550	-2.263489E-04
 0.131561	-2.960815E-04
 0.111542	-3.622437E-04
 0.091583	-4.136658E-04
 0.071564	-4.365845E-04
 0.051575	-4.181519E-04
 0.031577	-3.659058E-04
 0.011569	-3.123169E-04
 -0.008426	-2.718506E-04
 -0.028427	-2.427063E-04
 -0.048370	-2.211304E-04
 -0.068390	-2.048035E-04
 -0.088379	-1.922302E-04
 -0.108368	-1.823120E-04
