Date: 15-08-25
Time: 14:11:52 PM

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .0000
First vertex potential (V) = .5000
Second vertex potential (V) = -.3000
Step potential (V) = .00500
Scan rate (V/s) = .30005
Equilibration time (s) = 
Number of Data Points =  320 

 Potential	  Scan 1   
 0.002097	-8.694458E-06
 0.009647	1.912842E-06
 0.014639	3.172607E-06
 0.019638	4.231873E-06
 0.024631	5.270386E-06
 0.029630	6.436157E-06
 0.034622	7.778931E-06
 0.039615	9.292603E-06
 0.044601	1.105652E-05
 0.049591	1.307983E-05
 0.054596	1.542664E-05
 0.059601	1.813965E-05
 0.064575	2.125854E-05
 0.069580	2.479858E-05
 0.074585	2.880249E-05
 0.079559	3.330994E-05
 0.084534	3.836365E-05
 0.089539	4.396057E-05
 0.094513	5.010986E-05
 0.099518	5.682373E-05
 0.104492	6.408691E-05
 0.109497	7.189941E-05
 0.114471	8.023071E-05
 0.119446	8.905029E-05
 0.124451	9.829712E-05
 0.129456	1.080017E-04
 0.134430	1.181030E-04
 0.139404	1.284180E-04
 0.144409	1.390381E-04
 0.149384	1.498413E-04
 0.154388	1.607056E-04
 0.159393	1.716309E-04
 0.164368	1.825867E-04
 0.169373	1.933289E-04
 0.174347	2.038574E-04
 0.179352	2.140808E-04
 0.184326	2.239075E-04
 0.189331	2.331848E-04
 0.194336	2.418518E-04
 0.199341	2.497253E-04
 0.204315	2.567444E-04
 0.209290	2.627563E-04
 0.214294	2.676086E-04
 0.219269	2.711792E-04
 0.224274	2.734070E-04
 0.229248	2.741089E-04
 0.234253	2.733154E-04
 0.239258	2.709961E-04
 0.244232	2.671814E-04
 0.249237	2.621155E-04
 0.254211	2.559204E-04
 0.259216	2.490234E-04
 0.264221	2.415466E-04
 0.269196	2.338867E-04
 0.274200	2.262573E-04
 0.279175	2.189026E-04
 0.284149	2.118835E-04
 0.289154	2.052612E-04
 0.294128	1.990967E-04
 0.299133	1.933899E-04
 0.304108	1.881104E-04
 0.309113	1.831970E-04
 0.314087	1.786499E-04
 0.319092	1.744385E-04
 0.324066	1.705017E-04
