Date: 15-08-25
Time: 14:31:28 PM

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .0000
First vertex potential (V) = .5000
Second vertex potential (V) = -.3000
Step potential (V) = .00500
Scan rate (V/s) = .19994
Equilibration time (s) = 
Number of Data Points =  320 

 Potential	  Scan 1   
 0.002133	-7.894897E-06
 0.009653	-2.732239E-06
 0.014645	-2.039795E-06
 0.019638	-1.390381E-06
 0.024628	-6.777954E-07
 0.029620	7.171631E-08
 0.034613	9.854126E-07
 0.039603	2.098083E-06
 0.044592	3.338928E-06
 0.049591	4.769897E-06
 0.054596	6.427002E-06
 0.059570	8.395386E-06
 0.064575	1.071472E-05
 0.069580	1.340332E-05
 0.074554	1.652832E-05
 0.079529	2.012939E-05
 0.084534	2.431030E-05
 0.089539	2.902527E-05
 0.094513	3.439941E-05
 0.099487	4.032288E-05
 0.104492	4.704285E-05
 0.109467	5.447388E-05
 0.114471	6.259155E-05
 0.119446	7.144165E-05
 0.124451	8.093262E-05
 0.129425	9.103394E-05
 0.134430	1.016846E-04
 0.139404	1.127014E-04
 0.144409	1.241150E-04
 0.149384	1.358337E-04
 0.154388	1.475525E-04
 0.159363	1.593018E-04
 0.164368	1.708374E-04
 0.169342	1.820374E-04
 0.174316	1.926575E-04
 0.179321	2.026367E-04
 0.184296	2.117920E-04
 0.189301	2.197266E-04
 0.194305	2.265320E-04
 0.199280	2.319031E-04
 0.204254	2.357483E-04
 0.209259	2.379456E-04
 0.214233	2.385559E-04
 0.219238	2.374878E-04
 0.224213	2.348938E-04
 0.229218	2.309875E-04
 0.234192	2.259216E-04
 0.239197	2.200623E-04
 0.244171	2.136841E-04
 0.249146	2.070007E-04
 0.254150	2.002258E-04
 0.259125	1.935425E-04
 0.264130	1.870728E-04
 0.269104	1.809387E-04
 0.274109	1.751099E-04
 0.279083	1.696777E-04
 0.284088	1.645508E-04
 0.289063	1.597900E-04
 0.294067	1.553650E-04
 0.299042	1.512451E-04
 0.304016	1.473694E-04
 0.309021	1.437683E-04
 0.313995	1.404114E-04
 0.319000	1.372375E-04
 0.324005	1.342773E-04
 0.328979	1.314697E-04
 0.333954	1.288452E-04
 0.338959	1.263733E-04
 0.343933	1.240234E-04
 0.348938	1.217957E-04
 0.353912	1.196594E-04
 0.358887	1.176453E-04
 0.363892	1.157227E-04
 0.368866	1.138611E-04
 0.373871	1.120911E-04
 0.378845	1.103821E-04
 0.383850	1.087646E-04
 0.388824	1.071777E-04
 0.393829	1.056824E-04
 0.398804	1.041870E-04
