Date: 15-08-25
Time: 14:32:51 PM

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .0000
First vertex potential (V) = .5000
Second vertex potential (V) = -.3000
Step potential (V) = .00500
Scan rate (V/s) = .30005
Equilibration time (s) = 
Number of Data Points =  320 

 Potential	  Scan 1   
 0.002136	-7.174683E-06
 0.009677	1.633911E-06
 0.014670	2.599182E-06
 0.019659	3.456421E-06
 0.024652	4.360046E-06
 0.029645	5.346680E-06
 0.034641	6.518555E-06
 0.039633	7.843018E-06
 0.044623	9.408569E-06
 0.049622	1.122437E-05
 0.054626	1.338196E-05
 0.059631	1.582947E-05
 0.064606	1.873779E-05
 0.069611	2.208252E-05
 0.074615	2.596436E-05
 0.079590	3.048096E-05
 0.084564	3.556519E-05
 0.089569	4.134827E-05
 0.094574	4.792786E-05
 0.099548	5.517578E-05
 0.104553	6.326294E-05
 0.109528	7.214355E-05
 0.114532	8.181763E-05
 0.119507	9.225464E-05
 0.124512	1.033936E-04
 0.129486	1.151733E-04
 0.134491	1.275635E-04
 0.139496	1.404724E-04
 0.144470	1.537781E-04
 0.149445	1.673889E-04
 0.154449	1.811523E-04
 0.159424	1.948853E-04
 0.164429	2.085571E-04
 0.169403	2.219543E-04
 0.174408	2.348938E-04
 0.179382	2.471924E-04
 0.184387	2.586365E-04
 0.189392	2.690735E-04
 0.194366	2.783813E-04
 0.199371	2.862549E-04
 0.204346	2.926025E-04
 0.209351	2.971802E-04
 0.214325	2.999573E-04
 0.219299	3.010254E-04
 0.224304	2.998962E-04
 0.229279	2.970276E-04
 0.234283	2.924500E-04
 0.239288	2.864685E-04
 0.244263	2.794495E-04
 0.249268	2.716370E-04
 0.254242	2.633972E-04
 0.259247	2.550354E-04
 0.264221	2.467346E-04
 0.269226	2.387085E-04
 0.274200	2.310486E-04
 0.279205	2.237549E-04
 0.284180	2.169495E-04
 0.289185	2.106018E-04
 0.294159	2.046509E-04
 0.299164	1.991272E-04
 0.304138	1.939697E-04
 0.309143	1.891785E-04
 0.314117	1.846924E-04
 0.319122	1.805115E-04
 0.324127	1.765747E-04
 0.329102	1.728821E-04
 0.334106	1.694336E-04
 0.339081	1.661987E-04
 0.344055	1.631165E-04
 0.349060	1.601563E-04
 0.354034	1.573792E-04
 0.359039	1.547852E-04
 0.364014	1.522522E-04
 0.369019	1.498718E-04
 0.373993	1.475830E-04
 0.378998	1.453552E-04
 0.383972	1.432495E-04
 0.388977	1.412048E-04
 0.393951	1.392517E-04
 0.398956	1.373596E-04
 0.403931	1.354980E-04
 0.408936	1.337280E-04
 0.413910	1.320190E-04
 0.418915	1.303101E-04
 0.423889	1.286621E-04
 0.428894	1.270447E-04
 0.433868	1.254272E-04
 0.438873	1.239014E-04
 0.443848	1.223450E-04
