Date: 15-08-25
Time: 13:57:20 PM

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .0000
First vertex potential (V) = .5000
Second vertex potential (V) = -.3000
Step potential (V) = .02000
Scan rate (V/s) = 1.49880
Equilibration time (s) = 
Number of Data Points =  80 

 Potential	  Scan 1   
 0.007855	-8.251953E-06
 0.038113	2.396851E-05
 0.058167	4.284363E-05
 0.078186	6.103516E-05
 0.098175	7.897949E-05
 0.118195	9.695435E-05
 0.138184	1.150818E-04
 0.158203	1.333618E-04
 0.178192	1.517944E-04
 0.198212	1.703491E-04
 0.218201	1.889954E-04
 0.238190	2.076721E-04
 0.258209	2.262878E-04
 0.278198	2.447205E-04
 0.298218	2.631531E-04
 0.318207	2.812195E-04
 0.338226	2.988586E-04
 0.358215	3.159790E-04
 0.378235	3.325806E-04
 0.398224	3.478394E-04
 0.418213	3.616943E-04
 0.438232	3.736572E-04
 0.458221	3.830872E-04
 0.478210	3.891296E-04
 0.498352	3.910828E-04
 0.488037	3.662415E-04
 0.467987	3.247070E-04
 0.447968	2.892761E-04
 0.427948	2.587585E-04
 0.407898	2.322083E-04
 0.387878	2.090454E-04
 0.367859	1.885681E-04
 0.347839	1.702576E-04
 0.327820	1.536255E-04
 0.307770	1.382141E-04
 0.287781	1.236267E-04
 0.267731	1.094666E-04
 0.247711	9.536743E-05
 0.227692	8.111572E-05
 0.207672	6.658936E-05
 0.187653	5.151367E-05
 0.167633	3.596497E-05
 0.147614	1.975098E-05
 0.127594	3.060913E-06
 0.107574	-1.412659E-05
 0.087555	-3.170471E-05
 0.067535	-4.962158E-05
 0.047516	-6.799316E-05
 0.027502	-8.636475E-05
 0.007495	-1.048889E-04
 -0.012540	-1.235046E-04
 -0.032562	-1.420593E-04
 -0.052551	-1.605835E-04
 -0.072601	-1.789551E-04
 -0.092590	-1.970825E-04
 -0.112640	-2.148132E-04
 -0.132660	-2.320251E-04
 -0.152679	-2.484436E-04
 -0.172699	-2.638550E-04
 -0.192719	-2.777710E-04
 -0.212738	-2.896423E-04
 -0.232758	-2.985840E-04
 -0.252777	-3.036194E-04
 -0.272797	-3.039856E-04
 -0.292816	-2.994385E-04
 -0.286652	-2.725220E-04
 -0.266632	-2.254333E-04
 -0.246613	-1.873779E-04
 -0.226593	-1.562805E-04
 -0.206604	-1.307068E-04
 -0.186584	-1.095581E-04
 -0.166565	-9.201050E-05
 -0.146576	-7.730103E-05
 -0.126556	-6.488037E-05
 -0.106567	-5.410767E-05
 -0.086578	-4.450073E-05
 -0.066559	-3.541565E-05
 -0.046664	-2.623291E-05
 -0.026657	-1.627502E-05
 -0.006638	-5.130005E-06

 Potential	  Scan 2   
 0.013367	7.409668E-06
 0.033380	2.115479E-05
 0.053436	3.616028E-05
 0.073456	5.209351E-05
 0.093445	6.866455E-05
 0.113464	8.593750E-05
 0.133453	1.036987E-04
 0.153442	1.217651E-04
 0.173462	1.400757E-04
 0.193451	1.585388E-04
 0.213470	1.771240E-04
 0.233459	1.957703E-04
 0.253448	2.142944E-04
 0.273468	2.326660E-04
 0.293457	2.507935E-04
 0.313477	2.685547E-04
 0.333496	2.857971E-04
 0.353455	3.024292E-04
 0.373474	3.183594E-04
 0.393463	3.326111E-04
 0.413483	3.450928E-04
 0.433472	3.551941E-04
 0.453461	3.620911E-04
 0.473480	3.649597E-04
 0.493469	3.632202E-04
 0.493225	3.453064E-04
 0.473206	2.994080E-04
 0.453156	2.619934E-04
 0.433136	2.307739E-04
 0.413116	2.045288E-04
 0.393066	1.820374E-04
 0.373047	1.626282E-04
 0.352997	1.455688E-04
 0.333008	1.303101E-04
 0.312988	1.164246E-04
 0.292969	1.035156E-04
 0.272919	9.121704E-05
 0.252899	7.913208E-05
 0.232880	6.695557E-05
 0.212860	5.438232E-05
 0.192841	4.129333E-05
 0.172821	2.740173E-05
 0.152802	1.273193E-05
 0.132782	-2.685547E-06
 0.112762	-1.875000E-05
 0.092773	-3.544922E-05
 0.072723	-5.282593E-05
 0.052704	-7.040405E-05
 0.032703	-8.831787E-05
 0.012683	-1.065063E-04
 -0.007336	-1.248169E-04
 -0.027365	-1.432495E-04
 -0.047385	-1.616821E-04
 -0.067413	-1.800842E-04
 -0.087402	-1.983032E-04
 -0.107422	-2.162476E-04
 -0.127441	-2.338257E-04
 -0.147461	-2.508545E-04
 -0.167480	-2.671204E-04
 -0.187500	-2.822571E-04
 -0.207520	-2.958984E-04
 -0.227539	-3.073425E-04
 -0.247559	-3.158264E-04
 -0.267578	-3.202515E-04
 -0.287598	-3.199768E-04
 -0.291016	-3.071899E-04
 -0.270996	-2.589417E-04
 -0.250977	-2.192383E-04
 -0.230957	-1.862488E-04
 -0.210968	-1.587524E-04
 -0.190948	-1.357727E-04
 -0.170929	-1.164856E-04
 -0.150909	-1.001587E-04
 -0.130920	-8.618164E-05
 -0.110901	-7.388306E-05
 -0.090912	-6.277466E-05
 -0.070923	-5.212402E-05
 -0.050903	-4.137573E-05
 -0.031012	-2.995605E-05
 -0.011014	-1.748352E-05

 Potential	  Scan 3   
 0.009015	-3.872681E-06
 0.029010	1.082153E-05
 0.049011	2.647705E-05
 0.069092	4.281311E-05
 0.089081	5.987549E-05
 0.109100	7.745361E-05
 0.129089	9.536743E-05
 0.149109	1.136169E-04
 0.169098	1.321106E-04
 0.189117	1.506958E-04
 0.209106	1.693420E-04
 0.229095	1.879578E-04
 0.249115	2.065430E-04
 0.269104	2.249146E-04
 0.289093	2.430420E-04
 0.309082	2.607727E-04
 0.329132	2.779846E-04
 0.349091	2.944336E-04
 0.369110	3.098450E-04
 0.389130	3.242188E-04
 0.409119	3.363037E-04
 0.429108	3.459473E-04
 0.449127	3.520813E-04
 0.469116	3.540955E-04
 0.489105	3.514099E-04
 0.494080	3.383179E-04
 0.474060	2.902832E-04
 0.454010	2.519531E-04
 0.433990	2.204590E-04
 0.413940	1.941528E-04
 0.393921	1.718140E-04
 0.373901	1.525879E-04
 0.353882	1.357727E-04
 0.333862	1.208191E-04
 0.313843	1.073608E-04
 0.293793	9.494019E-05
 0.273773	8.316040E-05
 0.253754	7.168579E-05
 0.233734	6.015015E-05
 0.213715	4.834290E-05
 0.193695	3.583374E-05
 0.173676	2.256470E-05
 0.153656	8.483887E-06
 0.133636	-6.445313E-06
 0.113617	-2.204895E-05
 0.093597	-3.847961E-05
 0.073578	-5.541992E-05
 0.053558	-7.275391E-05
 0.033551	-9.048462E-05
 0.013535	-1.085510E-04
 -0.006500	-1.267700E-04
 -0.026517	-1.451111E-04
 -0.046539	-1.635132E-04
 -0.066528	-1.818848E-04
 -0.086548	-2.001343E-04
 -0.106567	-2.181702E-04
 -0.126617	-2.358398E-04
 -0.146637	-2.530212E-04
 -0.166626	-2.695007E-04
 -0.186646	-2.849731E-04
 -0.206665	-2.990723E-04
 -0.226685	-3.112183E-04
 -0.246735	-3.206482E-04
 -0.266754	-3.262634E-04
