Date: 15-08-25
Time: 14:40:21 PM

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .0000
First vertex potential (V) = .5000
Second vertex potential (V) = -.3000
Step potential (V) = .02000
Scan rate (V/s) = .99976
Equilibration time (s) = 
Number of Data Points =  80 

 Potential	  Scan 1   
 0.007794	8.056641E-06
 0.037927	4.274292E-05
 0.057953	5.685425E-05
 0.077942	8.117676E-05
 0.097900	1.199341E-04
 0.117889	1.749878E-04
 0.137848	2.447205E-04
 0.157806	3.245239E-04
 0.177765	4.080811E-04
 0.197754	4.870300E-04
 0.217743	5.511475E-04
 0.237701	5.874634E-04
 0.257660	5.838013E-04
 0.277649	5.404663E-04
 0.297577	4.816284E-04
 0.317566	4.298401E-04
 0.337524	3.903198E-04
 0.357513	3.602600E-04
 0.377472	3.366699E-04
 0.397430	3.175049E-04
 0.417389	3.014221E-04
 0.437378	2.873230E-04
 0.457336	2.743530E-04
 0.477295	2.619324E-04
 0.497284	2.497253E-04
 0.487946	1.958618E-04
 0.467926	1.679993E-04
 0.447937	1.506653E-04
 0.427917	1.366882E-04
 0.407928	1.241455E-04
 0.387909	1.121826E-04
 0.367920	1.003113E-04
 0.347931	8.819580E-05
 0.327942	7.546997E-05
 0.307922	6.176758E-05
 0.287933	4.657898E-05
 0.267944	2.859192E-05
 0.247955	6.179810E-06
 0.227966	-2.303162E-05
 0.207977	-6.198120E-05
 0.187988	-1.125793E-04
 0.167999	-1.750488E-04
 0.147980	-2.467957E-04
 0.127991	-3.223877E-04
 0.108002	-3.938293E-04
 0.088013	-4.501953E-04
 0.068054	-4.772339E-04
 0.048035	-4.605713E-04
 0.028043	-4.039612E-04
 0.008063	-3.424377E-04
 -0.011951	-2.956238E-04
 -0.031952	-2.619629E-04
 -0.051910	-2.373352E-04
 -0.071899	-2.189331E-04
 -0.091888	-2.049255E-04
 -0.111877	-1.940002E-04
 -0.131897	-1.853638E-04
 -0.151886	-1.783752E-04
 -0.171875	-1.726990E-04
 -0.191864	-1.679688E-04
 -0.211823	-1.641235E-04
 -0.231842	-1.609192E-04
 -0.251831	-1.583557E-04
 -0.271820	-1.563416E-04
 -0.291779	-1.547852E-04
 -0.286011	-5.297852E-05
 -0.266022	-1.914368E-05
 -0.246033	-1.498108E-05
 -0.226074	-1.281433E-05
 -0.206085	-1.134949E-05
 -0.186096	-1.028748E-05
 -0.166138	-9.451294E-06
 -0.146149	-8.792114E-06
 -0.126160	-8.444214E-06
 -0.106201	-8.032227E-06
 -0.086243	-7.562256E-06
 -0.066284	-6.997681E-06
 -0.046378	-6.106567E-06
 -0.026407	-4.614258E-06
 -0.006427	-1.930237E-06

 Potential	  Scan 2   
 0.013547	2.618713E-06
 0.033521	1.034546E-05
 0.053528	2.394714E-05
 0.073517	4.739380E-05
 0.093506	8.493042E-05
 0.113464	1.385498E-04
 0.133453	2.070923E-04
 0.153412	2.862244E-04
 0.173370	3.698120E-04
 0.193329	4.499512E-04
 0.213318	5.163574E-04
 0.233276	5.569458E-04
 0.253265	5.587769E-04
 0.273224	5.197144E-04
 0.293182	4.615173E-04
 0.313141	4.083252E-04
 0.333099	3.673096E-04
 0.353088	3.361511E-04
 0.373047	3.117676E-04
 0.393036	2.920532E-04
 0.412994	2.756653E-04
 0.432953	2.616272E-04
 0.452911	2.490234E-04
 0.472900	2.373352E-04
 0.492859	2.262268E-04
 0.492584	1.837769E-04
 0.472595	1.506653E-04
 0.452576	1.331482E-04
 0.432556	1.194763E-04
 0.412567	1.074524E-04
 0.392548	9.603882E-05
 0.372559	8.480835E-05
 0.352570	7.327271E-05
 0.332581	6.121826E-05
 0.312561	4.830933E-05
 0.292572	3.407288E-05
 0.272583	1.741028E-05
 0.252594	-3.021240E-06
 0.232605	-2.954712E-05
 0.212616	-6.494141E-05
 0.192627	-1.114502E-04
 0.172638	-1.700439E-04
 0.152649	-2.390137E-04
 0.132660	-3.136597E-04
 0.112640	-3.867493E-04
 0.092682	-4.481201E-04
 0.072693	-4.845581E-04
 0.052673	-4.810791E-04
 0.032684	-4.330750E-04
 0.012695	-3.700256E-04
 -0.007315	-3.189392E-04
 -0.027304	-2.822266E-04
 -0.047299	-2.553711E-04
 -0.067261	-2.353210E-04
 -0.087250	-2.200623E-04
 -0.107239	-2.081604E-04
 -0.127228	-1.987610E-04
 -0.147217	-1.911316E-04
 -0.167206	-1.848755E-04
 -0.187195	-1.797485E-04
 -0.207214	-1.755066E-04
 -0.227203	-1.719971E-04
 -0.247162	-1.691895E-04
 -0.267151	-1.669006E-04
 -0.287140	-1.651001E-04
 -0.290527	-1.049805E-04
 -0.270538	-3.119202E-05
 -0.250549	-2.549438E-05
 -0.230560	-2.300110E-05
 -0.210602	-2.128601E-05
 -0.190613	-1.999207E-05
 -0.170624	-1.896973E-05
 -0.150696	-1.796570E-05
 -0.130707	-1.763916E-05
 -0.110718	-1.709595E-05
 -0.090790	-1.653137E-05
 -0.070801	-1.585388E-05
 -0.050812	-1.492310E-05
 -0.030920	-1.339417E-05
 -0.010944	-1.086731E-05

 Potential	  Scan 3   
 0.009042	-6.637573E-06
 0.029013	3.436279E-07
 0.048981	1.264343E-05
 0.069000	3.389893E-05
 0.088959	6.842041E-05
 0.108948	1.189575E-04
 0.128906	1.847839E-04
 0.148895	2.622681E-04
 0.168854	3.455200E-04
 0.188812	4.269714E-04
 0.208771	4.968262E-04
 0.228760	5.438232E-04
 0.248749	5.538940E-04
 0.268707	5.221558E-04
 0.288666	4.653931E-04
 0.308624	4.100952E-04
 0.328613	3.667908E-04
 0.348572	3.339539E-04
 0.368530	3.083496E-04
 0.388489	2.878113E-04
 0.408478	2.708130E-04
 0.428436	2.563171E-04
 0.448395	2.434692E-04
 0.468353	2.317200E-04
 0.488342	2.205505E-04
 0.494385	1.919861E-04
 0.474365	1.473083E-04
 0.454376	1.288757E-04
 0.434357	1.149292E-04
 0.414368	1.028137E-04
 0.394348	9.143066E-05
 0.374359	8.026123E-05
 0.354370	6.887817E-05
 0.334351	5.694580E-05
 0.314362	4.427795E-05
 0.294373	3.020630E-05
 0.274384	1.393738E-05
 0.254395	-5.932617E-06
 0.234375	-3.158875E-05
 0.214386	-6.567383E-05
 0.194397	-1.108093E-04
 0.174408	-1.679993E-04
 0.154419	-2.359009E-04
 0.134430	-3.100891E-04
 0.114441	-3.836060E-04
 0.094452	-4.466858E-04
 0.074463	-4.863892E-04
 0.054443	-4.877319E-04
 0.034457	-4.437561E-04
