Date: 15-08-25
Time: 14:53:22 PM

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .0000
First vertex potential (V) = .5000
Second vertex potential (V) = -.3000
Step potential (V) = .00500
Scan rate (V/s) = .19994
Equilibration time (s) = 
Number of Data Points =  320 

 Potential	  Scan 1   
 0.002130	-7.412720E-06
 0.009653	-3.884888E-06
 0.014639	-3.305664E-06
 0.019635	-2.790527E-06
 0.024625	-2.317505E-06
 0.029617	-1.734619E-06
 0.034610	-1.074219E-06
 0.039600	-2.618408E-07
 0.044589	6.253052E-07
 0.049591	1.638794E-06
 0.054596	2.835999E-06
 0.059570	4.247742E-06
 0.064575	5.914307E-06
 0.069550	7.885742E-06
 0.074554	1.020508E-05
 0.079529	1.294556E-05
 0.084534	1.612549E-05
 0.089508	1.985474E-05
 0.094513	2.422485E-05
 0.099487	2.916565E-05
 0.104462	3.494568E-05
 0.109467	4.129944E-05
 0.114441	4.862976E-05
 0.119446	5.670166E-05
 0.124420	6.573486E-05
 0.129425	7.556152E-05
 0.134399	8.615112E-05
 0.139404	9.750366E-05
 0.144379	1.094360E-04
 0.149353	1.218262E-04
 0.154358	1.344299E-04
 0.159332	1.472778E-04
 0.164337	1.600342E-04
 0.169312	1.723938E-04
 0.174316	1.842346E-04
 0.179291	1.952515E-04
 0.184265	2.052307E-04
 0.189270	2.138672E-04
 0.194275	2.209778E-04
 0.199249	2.265015E-04
 0.204224	2.302551E-04
 0.209229	2.321777E-04
 0.214203	2.323303E-04
 0.219208	2.308655E-04
 0.224182	2.279968E-04
 0.229156	2.237854E-04
 0.234161	2.186890E-04
 0.239136	2.129517E-04
 0.244110	2.066956E-04
 0.249115	2.001953E-04
 0.254120	1.937561E-04
 0.259094	1.873779E-04
 0.264069	1.812439E-04
 0.269073	1.753235E-04
 0.274048	1.697388E-04
 0.279053	1.644592E-04
 0.284027	1.594849E-04
 0.289001	1.548462E-04
 0.294006	1.504517E-04
 0.298981	1.464233E-04
 0.303986	1.426086E-04
 0.308960	1.390381E-04
 0.313965	1.357117E-04
 0.318939	1.325684E-04
 0.323944	1.296387E-04
 0.328918	1.268616E-04
 0.333893	1.242676E-04
 0.338898	1.217957E-04
 0.343872	1.194763E-04
 0.348877	1.172180E-04
 0.353851	1.151123E-04
 0.358856	1.131287E-04
 0.363831	1.112061E-04
 0.368805	1.093750E-04
