Date: 15-08-25
Time: 15:03:47 PM

Exp. Conditions:
Cyclic voltammetry
Start potential (V) = .0000
First vertex potential (V) = .5000
Second vertex potential (V) = -.3000
Step potential (V) = .01500
Scan rate (V/s) = .99973
Equilibration time (s) = 
Number of Data Points =  107 

 Potential	  Scan 1   
 0.005930	1.155090E-05
 0.028561	3.766479E-05
 0.043564	4.364319E-05
 0.058594	5.249023E-05
 0.073578	6.649780E-05
 0.088531	8.822632E-05
 0.103516	1.203613E-04
 0.118500	1.646729E-04
 0.133484	2.213135E-04
 0.148468	2.882996E-04
 0.163452	3.617859E-04
 0.178406	4.361267E-04
 0.193390	5.044556E-04
 0.208374	5.590820E-04
 0.223358	5.914307E-04
 0.238342	5.957031E-04
 0.253326	5.722046E-04
 0.268280	5.310059E-04
 0.283264	4.855957E-04
 0.298248	4.442749E-04
 0.313232	4.098206E-04
 0.328217	3.816833E-04
 0.343170	3.585815E-04
 0.358185	3.393555E-04
 0.373138	3.230286E-04
 0.388123	3.089600E-04
 0.403076	2.966309E-04
 0.418060	2.856445E-04
 0.433044	2.755127E-04
 0.448029	2.658997E-04
 0.462982	2.566528E-04
 0.477966	2.475586E-04
 0.492950	2.386169E-04
 0.496674	2.091370E-04
 0.481659	1.749573E-04
 0.466644	1.595154E-04
 0.451660	1.477966E-04
 0.436646	1.376953E-04
 0.421631	1.284485E-04
 0.406647	1.195984E-04
 0.391632	1.108398E-04
 0.376648	1.019897E-04
 0.361633	9.280396E-05
 0.346649	8.303833E-05
 0.331635	7.247925E-05
 0.316650	6.085205E-05
 0.301636	4.787292E-05
 0.286652	3.290405E-05
 0.271637	1.529236E-05
 0.256653	-5.889893E-06
 0.241669	-3.189392E-05
 0.226654	-6.423950E-05
 0.211670	-1.043396E-04
 0.196686	-1.530457E-04
 0.181671	-2.099915E-04
 0.166687	-2.730713E-04
 0.151672	-3.381348E-04
 0.136688	-3.991394E-04
 0.121674	-4.483643E-04
 0.106689	-4.770203E-04
 0.091705	-4.784546E-04
 0.076721	-4.512329E-04
 0.061707	-4.054260E-04
 0.046710	-3.585205E-04
 0.031708	-3.190002E-04
 0.016708	-2.874756E-04
 0.001712	-2.624207E-04
 -0.013290	-2.421875E-04
 -0.028287	-2.255859E-04
 -0.043289	-2.120972E-04
 -0.058228	-2.010498E-04
 -0.073242	-1.919861E-04
 -0.088257	-1.844788E-04
 -0.103241	-1.781921E-04
 -0.118225	-1.728210E-04
 -0.133209	-1.682739E-04
 -0.148224	-1.643982E-04
 -0.163208	-1.611023E-04
 -0.178223	-1.581116E-04
 -0.193207	-1.556702E-04
 -0.208191	-1.535034E-04
 -0.223206	-1.516724E-04
 -0.238190	-1.501465E-04
 -0.253174	-1.488647E-04
 -0.268188	-1.477966E-04
 -0.283173	-1.470337E-04
 -0.298004	-1.464233E-04
 -0.285187	-2.091980E-05
 -0.270203	-1.160583E-05
 -0.255219	-9.185791E-06
 -0.240234	-7.666016E-06
 -0.225250	-6.536865E-06
 -0.210266	-5.792236E-06
 -0.195282	-5.032349E-06
 -0.180298	-4.806519E-06
 -0.165314	-4.445801E-06
 -0.150330	-4.187622E-06
 -0.135345	-3.995056E-06
 -0.120361	-3.813782E-06
 -0.105377	-3.677368E-06
 -0.090393	-3.421021E-06
 -0.075439	-3.166809E-06
 -0.060455	-2.798157E-06
 -0.045560	-2.251587E-06
 -0.030573	-1.354065E-06
 -0.015598	1.632690E-08
 -0.000623	2.248230E-06

 Potential	  Scan 2   
 0.014383	5.050659E-06
 0.029361	9.490967E-06
 0.044345	1.595154E-05
 0.059357	2.573242E-05
 0.074341	4.100647E-05
 0.089355	6.414795E-05
 0.104309	9.802246E-05
 0.119293	1.441650E-04
 0.134277	2.023621E-04
 0.149261	2.705383E-04
 0.164215	3.445129E-04
 0.179199	4.185791E-04
 0.194183	4.857788E-04
 0.209167	5.377197E-04
 0.224152	5.670166E-04
 0.239136	5.676270E-04
 0.254120	5.416870E-04
 0.269073	4.995728E-04
 0.284058	4.547729E-04
 0.299042	4.143372E-04
 0.314026	3.806763E-04
 0.328979	3.531494E-04
 0.343964	3.304443E-04
 0.358948	3.114319E-04
 0.373932	2.953186E-04
 0.388916	2.814636E-04
 0.403870	2.693176E-04
 0.418854	2.585144E-04
 0.433838	2.486877E-04
 0.448822	2.395325E-04
 0.463776	2.308350E-04
 0.478760	2.224426E-04
 0.493744	2.143860E-04
 0.497467	1.863708E-04
 0.482452	1.540222E-04
 0.467438	1.394958E-04
 0.452454	1.285095E-04
 0.437439	1.190491E-04
 0.422424	1.103516E-04
 0.407440	1.020508E-04
 0.392426	9.378052E-05
 0.377441	8.538818E-05
 0.362427	7.666016E-05
 0.347443	6.732178E-05
 0.332428	5.715942E-05
 0.317444	4.603577E-05
 0.302429	3.338623E-05
 0.287445	1.889343E-05
 0.272430	1.824951E-06
 0.257446	-1.864624E-05
 0.242462	-4.380798E-05
 0.227448	-7.434082E-05
 0.212463	-1.141052E-04
 0.197449	-1.614685E-04
 0.182465	-2.171936E-04
 0.167450	-2.792053E-04
 0.152466	-3.437805E-04
 0.137482	-4.044800E-04
 0.122498	-4.546814E-04
 0.107483	-4.852295E-04
 0.092499	-4.891357E-04
 0.077515	-4.644775E-04
 0.062500	-4.199524E-04
 0.047495	-3.730469E-04
 0.032504	-3.330078E-04
 0.017505	-3.009644E-04
 0.002505	-2.754211E-04
 -0.012494	-2.548523E-04
 -0.027490	-2.380066E-04
 -0.042496	-2.241821E-04
 -0.057465	-2.128296E-04
 -0.072449	-2.035522E-04
 -0.087433	-1.957703E-04
 -0.102448	-1.892090E-04
 -0.117432	-1.836548E-04
 -0.132446	-1.788940E-04
 -0.147430	-1.748047E-04
 -0.162445	-1.712952E-04
 -0.177399	-1.682129E-04
 -0.192413	-1.655579E-04
 -0.207397	-1.632996E-04
 -0.222412	-1.613770E-04
 -0.237396	-1.596375E-04
 -0.252380	-1.582947E-04
 -0.267365	-1.571655E-04
 -0.282379	-1.562805E-04
 -0.297363	-1.555786E-04
 -0.286041	-3.181152E-05
 -0.271027	-2.098083E-05
 -0.256042	-1.830750E-05
 -0.241058	-1.665955E-05
 -0.226074	-1.549988E-05
 -0.211090	-1.461182E-05
 -0.196106	-1.335449E-05
 -0.181122	-1.343079E-05
 -0.166138	-1.297302E-05
 -0.151154	-1.253357E-05
 -0.136169	-1.231689E-05
 -0.121185	-1.206360E-05
 -0.106232	-1.185303E-05
 -0.091248	-1.158142E-05
 -0.076263	-1.121826E-05
 -0.061279	-1.077881E-05
 -0.046390	-1.016235E-05
 -0.031400	-9.201050E-06
 -0.016403	-7.736206E-06
 -0.001428	-5.456543E-06

 Potential	  Scan 3   
 0.013547	-2.661133E-06
 0.028531	1.806335E-06
