condition,KCl_M,baseline_preflash,y_min,t_min_ms,t10_ms_preflashref,t50_ms_preflashref,t63_ms_preflashref,tau_ms_from_t10
0 M KCl,0.0,-0.0015357732166666666,-0.999169149,15.48833,14612.150372209993,,,138687.15695797364
0.1 M KCl,0.1,-0.0009997587333333334,-0.996755473,10.43607,7576.276167072095,,,71908.1158607572
0.2 M KCl,0.2,-0.0009688411500000001,-0.997189091,5.41,4693.06511219367,,,44542.92087403109
0.3 M KCl,0.3,-0.00105174383,-0.995687028,10.43607,7213.223652600717,,,68462.30400035929
0.4 M KCl,0.4,-0.0015557734933333333,-1.0,10.43607,9103.905160714005,,,86407.18113301828
0.5 M KCl,0.5,-0.0018036103666666666,-1.0,15.48833,7473.553389945064,,,70933.1512216258
0.75 M KCl,0.75,-0.00149014657,-0.997575177,10.43607,9080.672019264786,,,86186.67023950034
1 M KCl,1.0,-0.0014556877833333335,-0.998179258,15.48833,1884.437278360462,,,17885.611764472076
