condition,KCl_M,min_value,t_min_ms,final_value,t50_ms_finalref,t63_ms_finalref
0 M KCl,0.0,-0.999169149,15.48833,-0.9651621808888888,55.58535816110123,96.01780075679713
0.1 M KCl,0.1,-1.0,-550.39,-0.9342515385000001,618.5107740185258,637.1806843317556
0.2 M KCl,0.2,-1.0,-200.39,-0.9168368130555555,278.9177549634683,311.802449097289
0.3 M KCl,0.3,-0.999222796,-950.39,-0.9280185687222223,1034.8888166658248,1055.039292197755
0.4 M KCl,0.4,-1.0,10.43607,-0.9417470551666666,72.07446806403338,119.81274415029762
0.5 M KCl,0.5,-1.0,15.48833,-0.9418560204444444,70.22017057713626,127.10612443961223
0.75 M KCl,0.75,-0.997575177,10.43607,-0.9373404175,100.60776417607947,141.23964391774138
1 M KCl,1.0,-0.998179258,15.48833,-0.9068896502777777,83.66381265391772,149.41719436213086
