condition,KCl_M,y_min_used,t0_ms_used,y_final,t50_ms_finalref,t63_ms_finalref
0 M KCl,0.0,-0.999169149,15.48833,-0.9099231785,2043.9427472604796,4638.299601227878
0.1 M KCl,0.1,-0.996755473,10.43607,-0.8847038063799999,261.44613789606433,1858.8583236845895
0.2 M KCl,0.2,-0.997189091,5.41,-0.87082802602,185.29156530112724,662.4708548962117
0.3 M KCl,0.3,-0.995687028,10.43607,-0.8846482646400001,226.8031205774073,1062.9300377493416
0.4 M KCl,0.4,-1.0,10.43607,-0.8894606190599998,381.6443579420022,2267.969621167306
0.5 M KCl,0.5,-1.0,15.48833,-0.8948494448200001,295.04318732354824,1507.2166668423613
0.75 M KCl,0.75,-0.997575177,10.43607,-0.88972426122,378.00506533396185,1772.3336905331696
1 M KCl,1.0,-0.998179258,15.48833,-0.8566200391200001,252.8597227807824,619.2422331231862
