time;0 M KCl;0.1 M KCl;0.2 M KCl;0.3 M KCl;0.4 M KCl;0.5 M KCl;0.75 M KCl;1 M KCl
428,6886;-0,969854206;-0,942441537;-0,92368374;-0,936007403;-0,952689;-0,952656035;-0,943798592;-0,915699964
435,9213;-0,972332282;-0,940397523;-0,922997494;-0,935237573;-0,951276822;-0,948248691;-0,944677393;-0,913594028
443,1917;-0,972768961;-0,942650388;-0,924263568;-0,935235231;-0,948612008;-0,949812801;-0,941630791;-0,917137785
450,4999;-0,967173357;-0,938770409;-0,92455665;-0,931069839;-0,945798946;-0,953175671;-0,944075144;-0,918889692
457,8463;-0,965450537;-0,937170954;-0,92244565;-0,935449964;-0,944154819;-0,945895176;-0,942336423;-0,919457684
465,231;-0,971807027;-0,943441456;-0,92311527;-0,938803621;-0,947394579;-0,948315157;-0,945296117;-0,924531796
472,6541;-0,96915846;-0,945696005;-0,920062719;-0,937022072;-0,949007595;-0,949533147;-0,946413244;-0,914825476
480,116;-0,977400793;-0,937350622;-0,921793889;-0,937421606;-0,945223446;-0,947105232;-0,946157239;-0,917148969
487,6168;-0,966921873;-0,945670911;-0,924839774;-0,930461819;-0,949757583;-0,950430121;-0,942008689;-0,917427373
495,1566;-0,973555237;-0,939795102;-0,923003338;-0,935032731;-0,947378747;-0,945276425;-0,941332212;-0,916840608
502,7358;-0,967808443;-0,941820596;-0,920015476;-0,932254473;-0,946258526;-0,954443609;-0,943505288;-0,921008943
510,3545;-0,971832301;-0,937957613;-0,923376584;-0,933053975;-0,944515641;-0,947182624;-0,943556378;-0,924848812
518,0129;-0,969649365;-0,937555545;-0,923365884;-0,93165964;-0,944333735;-0,948359902;-0,940992261;-0,917360135
525,7112;-0,966906593;-0,937558511;-0,921995614;-0,937446506;-0,943924087;-0,94986626;-0,939342763;-0,91623973
533,4496;-0,965779223;-0,942421173;-0,922293388;-0,935016854;-0,943674977;-0,947721641;-0,943660316;-0,916520264
541,2285;-0,969597322;-0,940000184;-0,921841213;-0,931660334;-0,944200433;-0,943454903;-0,943694376;-0,910678044
549,0478;-0,968791402;-0,940417325;-0,926474567;-0,933823457;-0,944383779;-0,948962393;-0,943233179;-0,916827959
556,9079;-0,969873851;-0,938970842;-0,919185446;-0,932866831;-0,94942765;-0,947763914;-0,941027154;-0,910382998
564,809;-0,965056135;-0,938163738;-0,924053282;-0,93168723;-0,944393411;-0,944039445;-0,938445729;-0,912031984
572,7513;-0,966941748;-0,939397844;-0,923845219;-0,929477516;-0,943423542;-0,94406715;-0,946036086;-0,915961992
580,735;-0,972818592;-0,937161173;-0,922832311;-0,933443358;-0,948411945;-0,946174439;-0,944260992;-0,911232455
588,7603;-0,968762795;-0,940592103;-0,922122197;-0,934248499;-0,945327851;-0,948880708;-0,942042287;-0,913584175
596,8274;-0,966851793;-0,939995134;-0,92018675;-0,930653647;-0,949482787;-0,945892314;-0,941955563;-0,916548224
604,9366;-0,976065596;-0,934089339;-0,919511615;-0,931072789;-0,94643091;-0,951357531;-0,940182135;-0,911793257
613,0881;-0,96635388;-0,938798469;-0,917788346;-0,932827702;-0,946940313;-0,944941491;-0,94174852;-0,911843053
621,282;-0,971030976;-0,938774177;-0,919980991;-0,930062979;-0,943696235;-0,95133711;-0,943592011;-0,917151898
629,5187;-0,970981116;-0,936536384;-0,921308628;-0,93026383;-0,947016264;-0,946469312;-0,941027061;-0,910642761
637,7983;-0,96900348;-0,936766962;-0,921723931;-0,93482303;-0,944048421;-0,950132647;-0,944486361;-0,908028215
646,1211;-0,966496453;-0,938146822;-0,92102822;-0,929673856;-0,944357539;-0,947099769;-0,939409679;-0,914210484
654,4872;-0,96828246;-0,938190436;-0,921113322;-0,927292789;-0,944688247;-0,943988977;-0,94299041;-0,913914638
662,897;-0,965648024;-0,93896996;-0,918708745;-0,928081793;-0,945466688;-0,940695696;-0,941335822;-0,909513036
671,3506;-0,969424879;-0,937559233;-0,916796919;-0,931640813;-0,945222007;-0,947381504;-0,942523845;-0,91274497
679,8484;-0,965073253;-0,937762552;-0,921209288;-0,932435456;-0,948788489;-0,946761582;-0,936964772;-0,91098534
688,3904;-0,968705238;-0,937351344;-0,920549708;-0,931459483;-0,947495441;-0,948018204;-0,940489785;-0,914191844
696,9769;-0,966772867;-0,936324406;-0,921603932;-0,934833615;-0,946345881;-0,945519399;-0,941577017;-0,916265027
705,6082;-0,964204375;-0,936545524;-0,924847593;-0,935015465;-0,943055302;-0,947730225;-0,942215733;-0,911546808
714,2844;-0,970500206;-0,935129265;-0,919736962;-0,931811992;-0,944847677;-0,946828309;-0,94068239;-0,907733568
723,0059;-0,96878807;-0,936127982;-0,921200152;-0,936216497;-0,945539096;-0,951661768;-0,941612836;-0,909771734
731,7729;-0,967893458;-0,937986315;-0,92213232;-0,93345802;-0,941822594;-0,94490364;-0,940646849;-0,906832184
740,5856;-0,969012441;-0,938380607;-0,918277887;-0,932075312;-0,938470679;-0,943767205;-0,937930481;-0,910997456
749,4442;-0,968509703;-0,937144257;-0,920621394;-0,932069412;-0,947604717;-0,948931176;-0,940024793;-0,90887714
758,3491;-0,972215099;-0,937363129;-0,917983158;-0,929051433;-0,948516461;-0,945304911;-0,939945012;-0,908591014
767,3002;-0,96797721;-0,935927629;-0,917703409;-0,935606481;-0,941349838;-0,944908583;-0,938961162;-0,910965102
776,2982;-0,972534136;-0,934107138;-0,917795177;-0,932443265;-0,944728215;-0,939151096;-0,940565402;-0,915390538
785,343;-0,965696391;-0,933695048;-0,923098563;-0,928481501;-0,940935873;-0,94248613;-0,938050523;-0,911829472
794,4349;-0,964579821;-0,937970682;-0,921154556;-0,931866565;-0,937574325;-0,944951637;-0,940407134;-0,909490268
803,5742;-0,96395898;-0,937555465;-0,919340177;-0,926895164;-0,943963281;-0,948896837;-0,943248821;-0,914185852
812,7612;-0,968672381;-0,937551777;-0,914514727;-0,931831166;-0,937912672;-0,94343123;-0,936191205;-0,912148485
821,9961;-0,965236965;-0,934904941;-0,920069221;-0,929272587;-0,944244277;-0,948619915;-0,939099346;-0,907118843
831,2791;-0,963995399;-0,93675237;-0,918910388;-0,932844881;-0,941298577;-0,947762743;-0,94414243;-0,911292903
840,6105;-0,965233863;-0,938389025;-0,918545373;-0,92889535;-0,94748437;-0,937604545;-0,94119699;-0,909789708
849,9906;-0,968987396;-0,937992088;-0,922636182;-0,926112841;-0,939346771;-0,949215122;-0,939940384;-0,90973938
859,4196;-0,966089988;-0,937373392;-0,915740307;-0,934616105;-0,938274158;-0,949875626;-0,938342161;-0,906831119
868,8977;-0,963302641;-0,936346775;-0,919808813;-0,92947231;-0,944362853;-0,940099838;-0,93856753;-0,906181377
878,4252;-0,969393516;-0,940811296;-0,917342508;-0,933243113;-0,937911897;-0,941588247;-0,935383949;-0,905314211
888,0024;-0,967778228;-0,9379516;-0,919743381;-0,929055858;-0,942151973;-0,946170147;-0,943007348;-0,914205691
897,6295;-0,964813612;-0,933507844;-0,916546716;-0,930290553;-0,944669978;-0,944075215;-0,939663092;-0,907685103
907,3068;-0,968495227;-0,937775861;-0,917964064;-0,929073037;-0,940058451;-0,941252662;-0,939255484;-0,911237115
917,0346;-0,967799137;-0,937177689;-0,920585263;-0,930483335;-0,942554203;-0,951998263;-0,940285703;-0,901802142
926,813;-0,965491436;-0,935523557;-0,916825643;-0,92986126;-0,940444627;-0,943383754;-0,935761662;-0,909722205
936,6425;-0,962533828;-0,934102728;-0,917253374;-0,930854672;-0,942865092;-0,944073524;-0,938137524;-0,90563349
946,5232;-0,968718679;-0,938782755;-0,917294196;-0,927287844;-0,944815569;-0,948000254;-0,939769437;-0,905023158
956,4554;-0,964746404;-0,933902616;-0,91683807;-0,928479505;-0,945055822;-0,939416052;-0,939513803;-0,904161851
966,4394;-0,965369428;-0,937958415;-0,921439819;-0,930070353;-0,942153191;-0,943733517;-0,939893367;-0,904472342
976,4754;-0,967180595;-0,935945668;-0,917289669;-0,930670305;-0,940957794;-0,943190208;-0,937463545;-0,90179868
986,5637;-0,965493159;-0,933684786;-0,915842446;-0,929056465;-0,938745364;-0,944654293;-0,934677576;-0,905060705
996,7047;-0,964949637;-0,936140329;-0,91701601;-0,928091337;-0,945179381;-0,947407778;-0,935656705;-0,907700016
1006,898;-0,966797567;-0,937139927;-0,918153855;-0,929271546;-0,941692503;-0,937373278;-0,936019517;-0,907074506
1017,145;-0,964624281;-0,931469281;-0,916656756;-0,928107041;-0,939314774;-0,935254282;-0,93629394;-0,906202014
1027,446;-0,963831802;-0,936328255;-0,916655357;-0,929274843;-0,942861217;-0,942605146;-0,936931545;-0,908600201
1037,8;-0,963559984;-0,932281676;-0,918723971;-0,92966787;-0,941722396;-0,940096066;-0,934674244;-0,904479399
1048,208;-0,965758889;-0,937168068;-0,922147547;-0,929878265;-0,943293783;-0,942847209;-0,937893551;-0,912128247
1058,67;-0,962962465;-0,933938854;-0,918172209;-0,927292703;-0,943611316;-0,939169176;-0,934952924;-0,90594265
1069,187;-0,965109442;-0,939594989;-0,919049234;-0,928105826;-0,941680546;-0,937919838;-0,937328416;-0,91414511
1079,759;-0,967317653;-0,929624417;-0,916222523;-0,922102231;-0,94390438;-0,941897687;-0,93913322;-0,900345016
1090,385;-0,964704816;-0,93349702;-0,917656496;-0,928869322;-0,937375922;-0,947374089;-0,938289313;-0,906206141
1101,068;-0,966298046;-0,932473209;-0,916363262;-0,929047529;-0,943106231;-0,941026207;-0,943199582;-0,905362808
1111,805;-0,963570668;-0,934102808;-0,917064323;-0,926712099;-0,942448248;-0,941607887;-0,941011697;-0,908274132
1122,599;-0,969106647;-0,933474411;-0,912148998;-0,926493374;-0,935841625;-0,944332236;-0,938841397;-0,909471361
1133,449;-0,96483142;-0,932701703;-0,914924927;-0,925293644;-0,943323566;-0,941026337;-0,934747732;-0,900310798
1144,356;-0,962588284;-0,931047891;-0,915315539;-0,930087706;-0,940573722;-0,942792969;-0,93832402;-0,910868973
1155,32;-0,967209201;-0,937955449;-0,913880909;-0,930670045;-0,946809226;-0,943143122;-0,938704325;-0,911810965
1166,34;-0,964205295;-0,93390462;-0,917068273;-0,926312391;-0,939962793;-0,942880768;-0,935447811;-0,900030663
