condition,KCl_M,baseline,min_value,t_min_ms,t50_ms,t63_ms
0 M KCl,0.0,-0.9916817960454545,-0.999169149,15.48833,8.556417075891632,7.360279128406328
0.1 M KCl,0.1,-0.9958793556818182,-1.0,-550.39,149.13817055003028,137.39631762281613
0.2 M KCl,0.2,-0.9945351425909091,-1.0,-200.39,,205.01186779943959
0.3 M KCl,0.3,-0.9954660479545455,-0.999222796,-950.39,68.17427901152769,73.53747978697675
0.4 M KCl,0.4,-0.9893645567727269,-1.0,10.43607,10.566150712812185,11.487393112405734
0.5 M KCl,0.5,-0.9857747658636363,-1.0,15.48833,10.011341816697557,13.584124477864355
0.75 M KCl,0.75,-0.9904287465454544,-0.997575177,10.43607,7.291560968126422,6.1334724423359255
1 M KCl,1.0,-0.987397866818182,-0.998179258,15.48833,,
