File............:  sc_tdlast - MAY,22.2025

System..........:  CIMPS control file
Control.........:  
Temperature.....:  unknown
Time............:  MAY,22.2025
Comment.........:  13:44:23 - 13:56:25
                   
                   
                   
                   
Electr.area/sqcm:  
                    
polarization data

Lines:     721
Columns: 5

Number     Time/s     Potential/V    Current/A    Intensity/Wm-2
454            453.0     -2.0020e-01   -2.1808e-07     1.047e+01
455            454.0     -2.0020e-01   -2.0640e-07     1.021e+01
456            455.0     -2.0020e-01   -2.0722e-07     1.096e+01
457            456.0     -2.0020e-01   -1.9437e-07     8.918e+00
458            457.0     -2.0020e-01   -2.1003e-07     1.091e+01
459            458.0     -2.0020e-01   -1.9311e-07     1.027e+01
460            459.0     -2.0020e-01   -1.9305e-07     7.717e-02
461            460.0     -2.0020e-01   -1.8799e-07     9.051e-04
462            461.0     -2.0020e-01   -2.0668e-07     7.072e-02
463            462.0     -2.0020e-01   -2.1336e-07     2.788e-02
464            463.0     -2.0020e-01   -1.8956e-07     4.832e-02
465            464.0     -2.0020e-01   -2.0332e-07     5.614e-02
466            465.0     -2.0020e-01   -1.7723e-07     5.461e-02
467            466.0     -2.0020e-01   -1.6585e-07     4.404e-02
468            467.0     -2.0020e-01   -1.8307e-07     4.976e-02
469            468.0     -2.0020e-01   -1.6801e-07     3.877e-02
470            469.0     -2.0020e-01   -1.9856e-07     4.171e-02
471            470.0     -2.0020e-01   -1.6080e-07     3.016e-02
472            471.0     -2.0020e-01   -1.8476e-07     5.268e-02
473            472.0     -2.0020e-01   -1.5110e-07     3.327e-02
474            473.0     -2.0020e-01   -1.7725e-07     2.805e-02
475            474.0     -2.0020e-01   -1.6809e-07     7.058e-02
476            475.0     -2.0020e-01   -1.7451e-07     5.765e-02
477            476.0     -2.0020e-01   -1.3527e-07     4.329e-02
478            477.0     -2.0020e-01   -1.6093e-07     4.838e-02
479            478.0     -2.0020e-01   -1.7190e-07     6.781e-02
480            479.0     -2.0020e-01   -1.7512e-07     2.133e+01
481            480.0     -2.0020e-01   -1.6646e-07     1.710e+01
482            481.0     -2.0020e-01   -1.8168e-07     1.707e+01
483            482.0     -2.0020e-01   -2.1408e-07     1.887e+01
484            483.0     -2.0020e-01   -2.3667e-07     1.984e+01
485            484.0     -2.0020e-01   -2.3137e-07     2.150e+01
486            485.0     -2.0020e-01   -2.4181e-07     2.103e+01
487            486.0     -2.0020e-01   -2.0491e-07     1.956e+01
488            487.0     -2.0020e-01   -2.1091e-07     1.858e+01
489            488.0     -2.0020e-01   -2.4435e-07     2.288e+01
490            489.0     -2.0020e-01   -2.5013e-07     1.946e+01
491            490.0     -2.0020e-01   -2.3216e-07     1.960e+01
492            491.0     -2.0020e-01   -2.3880e-07     1.790e+01
493            492.0     -2.0020e-01   -2.1831e-07     2.169e+01
494            493.0     -2.0020e-01   -2.1852e-07     2.108e+01
495            494.0     -2.0020e-01   -2.4159e-07     1.825e+01
496            495.0     -2.0020e-01   -2.3366e-07     1.739e+01
497            496.0     -2.0020e-01   -2.3941e-07     2.098e+01
498            497.0     -2.0020e-01   -2.1054e-07     2.083e+01
499            498.0     -2.0020e-01   -2.6184e-07     1.856e+01
500            499.0     -2.0020e-01   -2.6882e-07     4.460e-02
501            500.0     -2.0020e-01   -2.5054e-07     3.310e-02
502            501.0     -2.0020e-01   -2.3806e-07     1.929e-02
503            502.0     -2.0020e-01   -2.1387e-07    -7.160e-04
504            503.0     -2.0020e-01   -2.1279e-07     5.781e-02
505            504.0     -2.0020e-01   -1.9331e-07     3.674e-02
506            505.0     -2.0020e-01   -1.7435e-07     4.657e-02
507            506.0     -2.0020e-01   -1.9499e-07     2.448e-02
508            507.0     -2.0020e-01   -1.9074e-07     3.318e-03
509            508.0     -2.0020e-01   -1.9329e-07     8.604e-02
510            509.0     -2.0020e-01   -1.8958e-07     8.122e-02
511            510.0     -2.0020e-01   -1.8718e-07     3.655e-02
512            511.0     -2.0020e-01   -1.7542e-07     2.156e-02
513            512.0     -2.0020e-01   -1.8481e-07     3.209e-02
514            513.0     -2.0020e-01   -1.9086e-07     4.018e-02
515            514.0     -2.0020e-01   -1.6049e-07     4.860e-02
516            515.0     -2.0020e-01   -1.5322e-07     2.846e-02
517            516.0     -2.0020e-01   -1.6028e-07     5.551e-02
518            517.0     -2.0020e-01   -1.8453e-07     1.802e-02
519            518.0     -2.0020e-01   -1.7701e-07     3.139e-02
520            519.0     -2.0020e-01   -1.5872e-07     5.546e+01
521            520.0     -2.0020e-01   -1.6263e-07     5.417e+01
522            521.0     -2.0020e-01   -1.9358e-07     5.416e+01
523            522.0     -2.0020e-01   -2.5728e-07     5.518e+01
524            523.0     -2.0020e-01   -2.5414e-07     5.395e+01
525            524.0     -2.0020e-01   -2.7031e-07     5.191e+01
526            525.0     -2.0020e-01   -2.5766e-07     4.449e+01
527            526.0     -2.0020e-01   -2.5566e-07     4.301e+01
528            527.0     -2.0020e-01   -2.4822e-07     5.630e+01
529            528.0     -2.0020e-01   -2.2958e-07     5.175e+01
530            529.0     -2.0020e-01   -2.8387e-07     5.447e+01
531            530.0     -2.0020e-01   -2.8856e-07     4.975e+01
532            531.0     -2.0020e-01   -2.9976e-07     4.428e+01
533            532.0     -2.0020e-01   -3.1577e-07     4.440e+01
534            533.0     -2.0020e-01   -2.7010e-07     5.278e+01
535            534.0     -2.0020e-01   -2.9125e-07     4.900e+01
536            535.0     -2.0020e-01   -3.0374e-07     4.555e+01
537            536.0     -2.0020e-01   -2.8540e-07     4.993e+01
538            537.0     -2.0020e-01   -2.6731e-07     4.350e+01
539            538.0     -2.0020e-01   -2.7403e-07     5.121e+01
540            539.0     -2.0020e-01   -2.5148e-07     4.653e+01
541            540.0     -2.0020e-01   -3.0325e-07     5.446e+01
542            541.0     -2.0020e-01   -2.7573e-07     4.716e+01
543            542.0     -2.0020e-01   -2.5694e-07     4.938e+01
544            543.0     -2.0020e-01   -2.8445e-07     4.272e+01
545            544.0     -2.0020e-01   -2.8960e-07     4.359e+01
546            545.0     -2.0020e-01   -2.6554e-07     4.845e+01
547            546.0     -2.0020e-01   -2.5316e-07     4.973e+01
548            547.0     -2.0020e-01   -2.9600e-07     5.154e+01
549            548.0     -2.0020e-01   -2.8726e-07     4.690e+01
550            549.0     -2.0020e-01   -2.9040e-07     5.296e+01
551            550.0     -2.0020e-01   -2.8608e-07     5.547e+01
552            551.0     -2.0020e-01   -3.0253e-07     5.425e+01
553            552.0     -2.0020e-01   -2.8947e-07     4.315e+01
554            553.0     -2.0020e-01   -2.8007e-07     4.975e+01
555            554.0     -2.0020e-01   -2.9665e-07     4.410e+01
556            555.0     -2.0020e-01   -2.6359e-07     4.613e+01
557            556.0     -2.0020e-01   -2.5771e-07     5.732e+01
558            557.0     -2.0020e-01   -2.5781e-07     4.464e+01
559            558.0     -2.0020e-01   -2.8910e-07     4.997e+01
560            559.0     -2.0020e-01   -2.7127e-07     7.647e-02
561            560.0     -2.0020e-01   -2.9342e-07     7.924e-02
562            561.0     -2.0020e-01   -2.4361e-07     6.353e-02
563            562.0     -2.0020e-01   -2.1367e-07     8.076e-03
564            563.0     -2.0020e-01   -2.1191e-07     8.016e-02
565            564.0     -2.0020e-01   -2.0242e-07     6.604e-02
566            565.0     -2.0020e-01   -2.0860e-07     3.763e-02
567            566.0     -2.0020e-01   -1.9912e-07     4.485e-02
568            567.0     -2.0020e-01   -1.9130e-07     2.887e-02
569            568.0     -2.0020e-01   -1.9937e-07     2.061e-02
570            569.0     -2.0020e-01   -1.8077e-07     5.140e-02
571            570.0     -2.0020e-01   -1.9180e-07     2.673e-02
572            571.0     -2.0020e-01   -1.9919e-07     5.858e-02
573            572.0     -2.0020e-01   -1.7510e-07     8.718e-02
574            573.0     -2.0020e-01   -1.8159e-07     3.739e-02
575            574.0     -2.0020e-01   -1.9124e-07     1.792e-02
576            575.0     -2.0020e-01   -1.9908e-07     9.038e-02
577            576.0     -2.0020e-01   -1.7206e-07     3.065e-02
578            577.0     -2.0020e-01   -1.8995e-07     6.851e-02
579            578.0     -2.0020e-01   -1.8116e-07     6.990e-02
580            579.0     -2.0020e-01   -1.6438e-07    -1.937e-02
581            580.0     -2.0020e-01   -1.6344e-07     9.608e-03
582            581.0     -2.0020e-01   -1.7379e-07     2.790e-02
583            582.0     -2.0020e-01   -1.6795e-07     3.795e-03
584            583.0     -2.0020e-01   -1.5717e-07     3.942e-02
585            584.0     -2.0020e-01   -1.7678e-07     6.570e-02
586            585.0     -2.0020e-01   -1.4938e-07     4.893e-02
587            586.0     -2.0020e-01   -1.3730e-07     2.055e-02
588            587.0     -2.0020e-01   -1.4864e-07     6.928e-03
589            588.0     -2.0020e-01   -1.4790e-07     1.196e-02
590            589.0     -2.0020e-01   -1.5322e-07    -9.169e-03
591            590.0     -2.0020e-01   -1.4234e-07     3.264e-02
592            591.0     -2.0020e-01   -1.6825e-07     3.664e-02
593            592.0     -2.0020e-01   -1.5121e-07     5.409e-02
594            593.0     -2.0020e-01   -1.6301e-07     1.785e-02
595            594.0     -2.0020e-01   -1.6895e-07    -7.895e-03
596            595.0     -2.0020e-01   -1.4808e-07    -2.967e-03
597            596.0     -2.0020e-01   -1.5799e-07    -1.343e-02
598            597.0     -2.0020e-01   -1.5056e-07    -6.725e-03
599            598.0     -2.0020e-01   -1.4073e-07     2.745e-02
600            599.0     -2.0020e-01   -1.3999e-07     9.260e+01
601            600.0     -2.0020e-01   -1.3998e-07     8.997e+01
602            601.0     -2.0020e-01   -2.4223e-07     1.114e+02
603            602.0     -2.0020e-01   -2.5502e-07     9.176e+01
604            603.0     -2.0020e-01   -2.6445e-07     1.145e+02
605            604.0     -2.0020e-01   -2.7229e-07     9.530e+01
606            605.0     -2.0020e-01   -2.9245e-07     9.064e+01
607            606.0     -2.0020e-01   -2.7431e-07     1.090e+02
608            607.0     -2.0020e-01   -2.9516e-07     1.051e+02
609            608.0     -2.0020e-01   -3.0177e-07     1.002e+02
610            609.0     -2.0020e-01   -3.0346e-07     1.020e+02
611            610.0     -2.0020e-01   -2.8357e-07     1.069e+02
612            611.0     -2.0020e-01   -3.1879e-07     9.213e+01
613            612.0     -2.0020e-01   -3.1202e-07     1.151e+02
614            613.0     -2.0020e-01   -2.7858e-07     1.145e+02
615            614.0     -2.0020e-01   -3.2631e-07     1.047e+02
616            615.0     -2.0020e-01   -3.4391e-07     9.117e+01
617            616.0     -2.0020e-01   -2.8604e-07     1.056e+02
618            617.0     -2.0020e-01   -2.9513e-07     8.743e+01
619            618.0     -2.0020e-01   -3.1544e-07     8.618e+01
620            619.0     -2.0020e-01   -3.1906e-07     9.301e+01
621            620.0     -2.0020e-01   -2.8747e-07     9.918e+01
622            621.0     -2.0020e-01   -2.8657e-07     1.113e+02
623            622.0     -2.0020e-01   -3.1523e-07     1.071e+02
624            623.0     -2.0020e-01   -2.7033e-07     1.075e+02
625            624.0     -2.0020e-01   -3.1513e-07     9.796e+01
626            625.0     -2.0020e-01   -2.9561e-07     9.566e+01
627            626.0     -2.0020e-01   -3.0739e-07     9.642e+01
628            627.0     -2.0020e-01   -3.1215e-07     1.149e+02
629            628.0     -2.0020e-01   -2.8361e-07     8.646e+01
630            629.0     -2.0020e-01   -2.9842e-07     1.113e+02
631            630.0     -2.0020e-01   -3.2736e-07     1.027e+02
632            631.0     -2.0020e-01   -3.3359e-07     9.845e+01
633            632.0     -2.0020e-01   -3.0457e-07     1.071e+02
634            633.0     -2.0020e-01   -3.1735e-07     9.990e+01
635            634.0     -2.0020e-01   -2.8728e-07     1.115e+02
636            635.0     -2.0020e-01   -3.2133e-07     1.124e+02
637            636.0     -2.0020e-01   -3.1009e-07     9.785e+01
638            637.0     -2.0020e-01   -2.9497e-07     9.358e+01
639            638.0     -2.0020e-01   -2.9646e-07     1.030e+02
640            639.0     -2.0020e-01   -3.0730e-07     1.470e-01
641            640.0     -2.0020e-01   -2.9277e-07     6.411e-02
642            641.0     -2.0020e-01   -2.6261e-07     1.176e-01
643            642.0     -2.0020e-01   -2.4118e-07     9.510e-02
644            643.0     -2.0020e-01   -2.4260e-07     1.013e-01
645            644.0     -2.0020e-01   -2.0545e-07     7.304e-02
646            645.0     -2.0020e-01   -2.2997e-07     5.414e-02
647            646.0     -2.0020e-01   -2.1394e-07     9.439e-02
648            647.0     -2.0020e-01   -2.0906e-07     7.577e-02
649            648.0     -2.0020e-01   -2.1751e-07     5.906e-02
650            649.0     -2.0020e-01   -1.9942e-07     1.012e-01
651            650.0     -2.0020e-01   -1.8072e-07     7.922e-02
652            651.0     -2.0020e-01   -1.9043e-07     5.423e-02
653            652.0     -2.0020e-01   -1.9444e-07     2.863e-02
654            653.0     -2.0020e-01   -1.8999e-07     6.904e-02
655            654.0     -2.0020e-01   -1.9124e-07     4.352e-02
656            655.0     -2.0020e-01   -1.7111e-07     8.305e-02
657            656.0     -2.0020e-01   -1.6998e-07     6.513e-02
658            657.0     -2.0020e-01   -1.7922e-07     6.700e-02
659            658.0     -2.0020e-01   -1.8625e-07     7.603e-02
660            659.0     -2.0020e-01   -1.7952e-07     3.992e-02
661            660.0     -2.0020e-01   -1.7808e-07     7.120e-02
662            661.0     -2.0020e-01   -1.8973e-07     1.104e-01
663            662.0     -2.0020e-01   -1.6081e-07     4.648e-02
664            663.0     -2.0020e-01   -1.7494e-07     6.611e-02
665            664.0     -2.0020e-01   -1.6410e-07     6.514e-02
666            665.0     -2.0020e-01   -1.6711e-07     6.964e-02
667            666.0     -2.0020e-01   -1.5787e-07     8.028e-02
668            667.0     -2.0020e-01   -1.6189e-07     6.176e-02
669            668.0     -2.0020e-01   -1.5332e-07     8.146e-02
670            669.0     -2.0020e-01   -1.5539e-07     6.475e-02
671            670.0     -2.0020e-01   -1.5606e-07     8.350e-02
672            671.0     -2.0020e-01   -1.8496e-07     8.944e-02
673            672.0     -2.0020e-01   -1.5167e-07     1.404e-01
674            673.0     -2.0020e-01   -1.6983e-07     8.899e-02
675            674.0     -2.0020e-01   -1.5720e-07     1.007e-01
676            675.0     -2.0020e-01   -1.9371e-07     9.127e-02
677            676.0     -2.0020e-01   -1.4432e-07     6.333e-02
678            677.0     -2.0020e-01   -1.4572e-07     2.114e-02
679            678.0     -2.0020e-01   -1.8286e-07     7.248e-02
680            679.0     -2.0020e-01   -1.7089e-07     4.840e-02
681            680.0     -2.0020e-01   -1.7541e-07     6.977e-02
682            681.0     -2.0020e-01   -1.5099e-07     7.731e-02
683            682.0     -2.0020e-01   -1.3423e-07     7.062e-02
684            683.0     -2.0020e-01   -1.6360e-07     8.986e-02
685            684.0     -2.0020e-01   -1.8228e-07     6.109e-02
686            685.0     -2.0020e-01   -1.5881e-07     7.369e-02
687            686.0     -2.0020e-01   -1.5824e-07     6.335e-02
688            687.0     -2.0020e-01   -1.5637e-07     7.437e-02
689            688.0     -2.0020e-01   -1.6219e-07     7.174e-02
690            689.0     -2.0020e-01   -1.2675e-07     7.077e-02
691            690.0     -2.0020e-01   -1.4134e-07     7.106e-02
692            691.0     -2.0020e-01   -1.5545e-07     5.821e-02
693            692.0     -2.0020e-01   -1.5986e-07     2.130e-02
694            693.0     -2.0020e-01   -1.5141e-07     5.943e-02
695            694.0     -2.0020e-01   -1.4996e-07    -4.155e-03
696            695.0     -2.0020e-01   -1.6074e-07     4.738e-02
697            696.0     -2.0020e-01   -1.5097e-07     5.965e-02
698            697.0     -2.0020e-01   -1.4777e-07     2.361e-02
699            698.0     -2.0020e-01   -1.4234e-07     2.789e-02
700            699.0     -2.0020e-01   -1.5449e-07     3.608e-02
701            700.0     -2.0020e-01   -1.5286e-07     7.071e-02
702            701.0     -2.0020e-01   -1.3076e-07     6.632e-02
703            702.0     -2.0020e-01   -1.4975e-07     7.335e-02
704            703.0     -2.0020e-01   -1.3922e-07     8.588e-02
705            704.0     -2.0020e-01   -1.4658e-07     9.691e-02
706            705.0     -2.0020e-01   -1.7033e-07     6.579e-02
707            706.0     -2.0020e-01   -1.4366e-07     4.254e-02
708            707.0     -2.0020e-01   -1.6325e-07     8.302e-02
709            708.0     -2.0020e-01   -1.3675e-07     8.172e-02
710            709.0     -2.0020e-01   -1.5903e-07     6.300e-02
711            710.0     -2.0020e-01   -1.6439e-07     8.361e-02
712            711.0     -2.0020e-01   -1.4721e-07     2.581e-02
713            712.0     -2.0020e-01   -1.4430e-07     4.240e-02
714            713.0     -2.0020e-01   -1.3174e-07     6.868e-02
715            714.0     -2.0020e-01   -1.4160e-07     3.918e-02
716            715.0     -2.0020e-01   -1.5128e-07     5.067e-02
717            716.0     -2.0020e-01   -1.8212e-07     2.490e-02
718            717.0     -2.0020e-01   -1.8628e-07     2.536e-02
719            718.0     -2.0020e-01   -1.5325e-07     2.839e-02
720            719.0     -2.0020e-01   -1.5845e-07     4.843e-02
721            720.0     -2.0020e-01   -1.6610e-07     3.728e-02
